subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,21871589
1,ifo:internal_reference_id,
2,rdf:type,bibo:Article
2,dct:references,15176987
2,ifo:internal_reference_id,
3,rdf:type,bibo:Document
3,rdfs:label,社内資料：閉経後骨粗鬆症患者を対象とした第Ⅱ相臨床試験の薬物動態
3,dct:dateAccepted,2013-03-25
3,ifo:internal_reference_id,
3,ifo:ctd_number,CTD2.7.6.10
4,rdf:type,bibo:Article
4,dct:references,26585988
4,ifo:internal_reference_id,
5,rdf:type,bibo:Document
5,rdfs:label,"社内資料：ビタミンD とカルシウムにて併用治療している原発性骨粗鬆症患者を対象としたデノスマブの
プラセボ対照無作為化二重盲検による検証的試験"
5,dct:dateAccepted,2013-03-25
5,ifo:internal_reference_id,
5,ifo:ctd_number,CTD2.7.6
6,rdf:type,bibo:Article
6,dct:references,24646104
6,ifo:internal_reference_id,
7,rdf:type,bibo:Article
7,dct:references,19671655
7,ifo:internal_reference_id,
8,rdf:type,bibo:Article
8,dct:references,21411557
8,ifo:internal_reference_id,
9,rdf:type,bibo:Document
9,rdfs:label,"社内資料：ビタミンD とカルシウムにて併用治療している関節リウマチ患者を対象としたデノスマブのプラ
セボ対照無作為化二重盲検による検証的試験"
9,dct:dateAccepted,2017-07-03
9,ifo:internal_reference_id,
9,ifo:ctd_number,CTD2.7.6.6
10,rdf:type,bibo:Article
10,dct:references,28546097
10,ifo:internal_reference_id,
11,rdf:type,bibo:Article
11,dct:references,21289258
11,ifo:internal_reference_id,
12,rdf:type,bibo:Document
12,rdfs:label,社内資料：閉経後骨粗鬆症患者を対象とした海外第Ⅲ相二重盲検試験及びその非盲検継続試験の追跡調査結果
12,dct:dateAccepted,
12,ifo:internal_reference_id,
12,ifo:ctd_number,
13,rdf:type,bibo:Article
13,dct:references,9568710
13,ifo:internal_reference_id,
14,rdf:type,bibo:Document
14,rdfs:label,"社内資料：デノスマブのRANKL に対する結合試験"
14,dct:dateAccepted,2013-03-25
14,ifo:internal_reference_id,
14,ifo:ctd_number,CTD2.6.2.2
15,rdf:type,bibo:Article
15,dct:references,19016581
15,ifo:internal_reference_id,
16,rdf:type,bibo:Article
16,dct:references,21497676
16,ifo:internal_reference_id,
17,rdf:type,bibo:Article
17,dct:references,21457806
17,ifo:internal_reference_id,
18,rdf:type,bibo:Article
18,dct:references,12748652
18,ifo:internal_reference_id,
19,rdf:type,bibo:Article
19,dct:references,17634141
19,ifo:internal_reference_id,
20,rdf:type,bibo:Document
20,rdfs:label,社内資料：カニクイザルにおけるデノスマブ投与試験
20,dct:dateAccepted,2013-03-25
20,ifo:internal_reference_id,
20,ifo:ctd_number,CTD2.6.2.2
21,rdf:type,bibo:Article
21,dct:references,19016594
21,ifo:internal_reference_id,
22,rdf:type,bibo:Document
22,rdfs:label,"社内資料：ラットコラーゲン誘発関節炎モデルでのOPG-Fc の作用"
22,dct:dateAccepted,2017-07-03
22,ifo:internal_reference_id,
22,ifo:ctd_number,CTD2.6.2.2
23,rdf:type,bibo:Article
23,dct:references,16160733
23,ifo:internal_reference_id,
24,rdf:type,bibo:Article
24,dct:references,20003323
24,ifo:internal_reference_id,
25,rdf:type,bibo:Document
25,rdfs:label,社内資料：関節リウマチ患者を対象とした第Ⅱ相臨床試験の薬物動態
25,dct:dateAccepted,2017-07-03
25,ifo:internal_reference_id,
25,ifo:ctd_number,CTD2.7.6.7
26,rdf:type,bibo:Document
26,rdfs:label,"社内資料：健康被験者、低骨密度又は骨粗鬆症の閉経後女性及びがん患者におけるデノスマブの母集団薬物
動態解析"
26,dct:dateAccepted,2013-03-25
26,ifo:internal_reference_id,
26,ifo:ctd_number,CTD2.7.2.3
27,rdf:type,bibo:Document
27,rdfs:label,"社内資料：125I 標識デノスマブを単回皮下投与したカニクイザルにおける分布及び排泄"
27,dct:dateAccepted,2013-03-25
27,ifo:internal_reference_id,
27,ifo:ctd_number,CTD2.6.4
28,rdf:type,bibo:Document
28,rdfs:label,"社内資料：125I 標識デノスマブを単回皮下投与したカニクイザルにおけるQWBA 試験"
28,dct:dateAccepted,2013-03-25
28,ifo:internal_reference_id,
28,ifo:ctd_number,CTD2.6.4.4
29,rdf:type,bibo:Article
29,dct:references,22461041
29,ifo:internal_reference_id,
