subject,predicate,object
IF_0_3,dct:modified,2020-02
IF_0_3,pav:version,1
IF_0_4,rdf:value,872499
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,子宮頸管熟化剤(プロスタグランジンE2製剤)
IF_0_8,rdf:value,プロウペス膣用材10mg
IF_0_9,,腟用剤（腟内留置用製剤）
IF_0_10,rdf:value,劇薬、処方箋医薬品（注意－医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,ジノプロストン（JAN）
IF_0_12,rdf:value,Dinoprostone（JAN、INN）
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,製造販売元（輸入）：フェリング・ファーマ株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"フェリング・ファーマ株式会社 くすり相談室
TEL：0120-093-168 FAX：03-3596-1107
受付時間 9:00～17:30（土・日・祝日・弊社休日を除く）
医療関係者向けホームページ http://www.ferring.co.jp/"
IF_0_19,rdf:value,2020-01
IF_1,,
IF_1_1,rdf:value,"自然分娩開始前に子宮頸管熟化や子宮収縮を促し速やかに経腟分娩に至ることを目的に「分娩
誘発」が行われる。一般的に分娩誘発は、自然分娩や帝王切開を行う場合に比べて、分娩誘発を
行うことで母体や胎児の健康と安全が向上すると予測される妊婦に用いられる。分娩誘発には子
宮頸管熟化作用や子宮収縮作用をもつ薬剤が使用されるが、子宮頸管が熟化していない場合には
原則として子宮収縮薬は用いず、まず子宮頸管の熟化を行う必要があるため、子宮頸管の熟化が
分娩誘発の成功に不可欠である。そのため、海外ガイドライン1、2）では、プロスタグランジン（PG）
の経腟投与が子宮頸管熟化促進の標準的な方法となっている。
一方、国内ではPG 経腟剤は無く、子宮頸管熟化促進には器械的な子宮頸管熟化処置、又は、プ
ラステロン硫酸エステルナトリウム静脈注射用製剤（以下、プラステロン）が用いられており、
器械的な子宮頸管熟化処置は挿入に痛みを伴うこと3）、臍帯脱出や感染症のリスクがあること4）、
設置技術が必要なこと5）、静脈注射用製剤は投与期間が長く投与回数も多いことから、海外で標
準的な子宮頸管熟化促進の方法であるジノプロストン〔プロスタグランジンE2（PGE2）〕経腟製剤
の開発が求められていた。PGE2 は、体内の多くの組織で産生される生体分子であり、多くの生物
学的機能を持つ。妊娠末期においては、頸管熟化に関連した一連の生化学的、構造的変化を担う
ため、子宮頸管熟化及び子宮収縮において重要な役割を果たしている。
プロウペス®腟用剤10mg（ジノプロストン腟内留置用製剤：以下、プロウペス）は妊娠末期の子
宮頸管熟化不全における熟化促進剤である。プロウペスは有効成分のジノプロストン10mg を含
有する親水性ポリマーと、これを包含する取り出し用紐で構成され、標的部位である子宮頸部に
貼りつくように挿入（後腟円蓋に留置）し持続的にジノプロストンを放出することで、子宮頸管
を中心に効果を発揮する。また、副作用等が生じた場合には容易かつ迅速に腟から取り出すこと
が可能であり、経口剤や注射剤と比較し体内に有効成分が残存しつづけることはない。1995 年に
米国で承認（販売名CERVIDIL®）されて以降、子宮頸管熟化を促進する薬剤として71 の国と地域
で承認されている（2019 年9 月現在）。
国内では、フェリング・ファーマ株式会社が臨床試験を実施し、日本人及び非日本人女性を対
象にした第Ⅰ相試験（228 試験）6）において薬物動態、安全性及び忍容性が評価され、その後、
妊娠37 週0 日以上40 週6 日以下（以下、妊娠37 週から41 週未満）でビショップスコア4 点以
下の妊婦を対象にした多施設共同非盲検第Ⅲ相試験（261 試験）7）、並びに、妊娠41 週0 日以上
41 週6 日以下（以下、妊娠41 週）でビショップスコア4 点以下の妊婦を対象にした多施設共同
無作為化二重盲検プラセボ対照第Ⅲ相試験（262 試験）8）において有効性及び安全性が評価され、
2020 年1 月に「妊娠37 週以降の子宮頸管熟化不全における熟化の促進」を効能又は効果として
承認を取得した。"
IF_1_1,dct:references,"1, 2, 3, 4, 5, 6, 7"
IF_1_2,rdf:value,"1．ジノプロストン（プロスタグランジンE2）により、妊娠37 週以降の妊婦の子宮頸管の熟化を
促進する。（12 頁参照）
2．子宮頸管熟化作用に加えて子宮収縮作用が認められる場合があるため、本剤使用中は分娩監視
装置を用いて連続モニタリングを行い、妊婦と胎児の状態を継続的に監視する。（66 頁参照）
3．オキシトシン等の子宮収縮薬や子宮頸管熟化処置とは併用禁忌である。（68 頁参照）
4．妊娠37 週から41 週未満でビショップスコア4 点以下の妊婦を対象にした国内多施設共同非
盲検第Ⅲ相試験（261 試験）7）において、主要評価項目である子宮頸管熟化成功a した妊婦の
割合（95%信頼区間）は57.4%（44.8-69.3）であった。（18～25 頁参照）
妊娠41 週でビショップスコア4 点以下の妊婦を対象にした国内多施設共同無作為化二重盲
検プラセボ対照第Ⅲ相試験（262 試験）8）において、主要評価項目である子宮頸管熟化成功a
した妊婦の割合（95%信頼区間）は、本剤が47.4%（34.0-61.0）、プラセボが14.3%（6.4-26.2）
であり、本剤はプラセボより有意に高かった（p＝0.0002b）。（26～34 頁参照）
a：投与後12 時間以内にビショップスコアが7 点以上又は経腟分娩のいずれかに至った場合と定義
b：Fisher の正確検定
5．重大な副作用として、過強陣痛（頻度不明）及び胎児機能不全（0.8%）があらわれることが
ある。主な副作用として発熱（1～5％未満）、血圧上昇、悪心（各1％未満）が報告されてい
る。（69～73 頁参照）"
IF_1_2,rdfs:seeAlso,"7, 8"
IF_1_3,rdf:value,"1．低用量のジノプロストン（約0.3mg/h）を12 時間にわたって持続的に放出するように開発さ
れたジノプロストン腟内留置用製剤であり、ジノプロストンを含有する親水性ポリマーと取
り出し用紐と一体となったネットで構成されている。（7、8 頁参照）
2．本剤1 個を後腟円蓋に挿入し、最長12 時間腟内に留置することで、熟化が必要な子宮頸管を
中心に効果を発揮する。（12～15、51 頁参照）
3．子宮収縮や有害事象が発現した場合など必要に応じて、取り出し用紐を引いて容易かつ迅速
に腟から取り出すことができる。（14～15 頁参照）
4．冷凍保存である。（9、81 頁参照）"
IF_1_3,rdfs:seeAlso,
IF_1_4,,
IF_1_4_1,rdf:value,有
IF_1_4_1,rdfs:comment,"（「Ⅰ．概要に関する項目 6．RMP の概要」の項参照）"
IF_1_4_1,rdfs:seeAlso,IF_1_6
IF_1_4_2,rdf:value,有
IF_1_4_2,rdfs:comment,"医療従事者向け資材「適正使用ガイド」
患者向け資材「プロウペスを使用する際にご本人に
理解していただきたいこと」"
IF_1_4_2,rdfs:seeAlso,
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,無
IF_1_4_4,rdfs:comment,
IF_1_5,,
IF_1_5_1,rdf:value,医薬品リスク管理計画を策定の上、適切に実施すること。
