subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,670666_24997A2H1020_1_02
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,670666_24997A2H1020_1_4F
800126_2590014F1021_1_015_1F,ifo:yjcode,24997A2H1020
,,
2590014F1021,ifo:if_0_8,プロウペス膣用剤10mg
2590014F1021,ifo:if_0_9,腟用剤（腟内留置用製剤）
2590014F1021,ifo:if_0_11,"1 個中、ジノプロストン10mg 含有"
2590014F1021,ifo:if_0_13,2020-01-23
2590014F1021,ifo:if_0_14,薬価基準未収載
2590014F1021,ifo:if_0_15,2020-04
2590014F1021,ifo:if_10_8,30200AMX00030
2590014F1021,ifo:yakka_code,薬価未収載品のためコードなし
2590014F1021,ifo:yj_code,薬価未収載品のためコードなし
2590014F1021,ifo:hot_code,1877991010101
2590014F1021,ifo:resept_code,薬価未収載品のためコードなし
,,
2590014F2028,ifo:if_0_8,
2590014F2028,ifo:if_0_9,
2590014F2028,ifo:if_0_11,
2590014F2028,ifo:if_0_13,
2590014F2028,ifo:if_0_14,
2590014F2028,ifo:if_0_15,
2590014F2028,ifo:if_10_8,
2590014F2028,ifo:yakka_code,
2590014F2028,ifo:yj_code,
2590014F2028,ifo:hot_code,
2590014F2028,ifo:resept_code,
