subject,predicate,object
IF_0_3,dct:modified,2020-11
IF_0_3,pav:version,7
IF_0_4,rdf:value,873999
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,骨粗鬆症治療剤
IF_0_8,rdf:value,ゾレドロン酸水和物注射液
IF_0_9,,
IF_0_10,rdf:value,"劇薬、処方箋医薬品注）
注）注意－医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,ゾレドロン酸水和物（JAN）
IF_0_12,rdf:value,"Zoledronic Acid Hydrate（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元：旭化成ファーマ株式会社
提携先：ノバルティス ファーマAG"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"旭化成ファーマ株式会社 医薬情報部　くすり相談窓口
TEL：0120-114-936　FAX：03-6699-3697
受付時間：9:00～17:45（土日祝、休業日を除く）
医療関係者向けホームページ
https://www.asahikasei-pharma.co.jp"
IF_0_19,rdf:value,2020-02
IF_1,,
IF_1_1,rdf:value,"ゾレドロン酸水和物（以下、ゾレドロン酸）は、ノバルティス ファーマAGが創製した、
側鎖にイミダゾール環を有する第三世代の窒素含有ビスホスホネート製剤である。ゾレドロ
ン酸は、静脈内投与後、長期間にわたり骨組織に特異的に分布し、破骨細胞の形成阻害及び
機能喪失を引き起こすとともにアポトーシスを誘導することによって、骨吸収を抑制する。
骨粗鬆症は骨強度の低下を特徴とし、骨折リスクが増大する骨格疾患である。ゾレドロン酸
は強力な   骨吸収抑制作用を持つ薬剤であることから、骨密度を増加させ、骨微細構造の劣化
及び骨代謝回転を改善し、骨粗鬆症における骨折リスクを低下させることが期待できる。
ゾレドロン酸の開発は、まず、「4 mg点滴静注用製剤」として「悪性腫瘍による高カルシウ
ム血症」を対象に海外で始まり、2000年にカナダ及びスイスで、2001年には欧米で承認さ
れた（販売名：ZOMETAⓇ）。その後、2002年に欧米で「多発性骨髄腫及び各種固形癌の骨
転移」の効能又は効果が追加承認された。国内では、2004年に「悪性腫瘍による高カルシ
ウム血症」を効能又は効果として承認され（承認時販売名：ゾメタⓇ注射液4 mg）、さらに
2006年には「多発性骨髄腫による骨病変及び固形癌骨転移による骨病変」の効能又は効果
が追加承認された。
次いで、「ゾレドロン酸5mg点滴静注用製剤」の開発が「骨ページェット病」を対象に海外
で行われ、2005年4月に欧州で、2007年4月に米国で承認された［販売名： ReclastⓇ（米国）/AclastaⓇ
（米国以外の海外）］。さらに、「閉経後骨粗鬆症」の効能又は効果が2007年
8月には米国で、同年10月には欧州で追加承認された。現在、115以上の国又は地域でゾ
レドロン酸5 mg点滴静注用製剤は承認されている（2016年6月時点）。また、各国で「ス
テロイド性骨粗鬆症」、「男性骨粗鬆症」等の効能又は効果が追加承認されている。
国内では、旭化成ファーマ株式会社が「骨粗鬆症」を効能又は効果として「リクラスト
Ⓡ点滴静注液5mg」の開発に着手し、日本人骨粗鬆症患者を対象とした薬物動態試験及び国内
第III相臨床試験を新たに実施した。国内及び海外臨床試験成績から、本剤の骨粗鬆症患者に
対する有効性及び安全性が確認されたため、「 リクラストⓇ点滴静注液5mg」の 製造販売承
認申請を行い、2016年9月に「骨粗鬆症」を効能又は効果として製造販売承認を取得した。"
IF_1_1,dct:references,
IF_1_2,rdf:value,"（1）年1回点滴静脈内投与のビスホスホネート製剤である。
 
（2）世界115ヵ国以上で承認されている（2016年6月時点）。
 
（3）骨粗鬆症患者の骨折発生率を低下させる。
日本人原発性骨粗鬆症患者を対象とした第III相臨床試験において、プラセボに対して
新規椎体骨折発生率を65%、非椎体骨折発生率を45%抑制した。（「V.5.（4）検証的
試験」の項参照）
 
（4）腰椎及び大腿骨近位部に対して優れた骨密度増加効果を示す。

日本人原発性骨粗鬆症患者を対象とした第III相臨床試験において、投与24ヵ月後の腰
椎（L2-4）、 大腿骨近位部total、及び  大腿骨頸部の骨密度をそれぞれ8.60%、3.30%
及び3.63%増加させた。（「V.5.（4）検証的試験」の項参照）
 
（5）複数の海外エビデンスを有する。
海外で  閉経後骨粗鬆症患者、男性骨粗鬆症患者、及 びステロイド性骨粗鬆症患者を対
象とした臨床試験で骨折抑制効果もしくは骨密度増加効果が認められた。
・閉経後骨粗鬆症（H2301試験）〔海外データ〕（「V.5.（4）検証的試験」の項参照）
・男性骨粗鬆症（M2309試験）〔海外データ〕（「V.5.（5）患者・病態別試験」の項参
照）
・ステロイド性骨粗鬆症（O2306試験）〔海外データ〕（「V.5.（5）患者・病態別試
験」の項参照）
・大腿骨近位部骨折後の二次骨折（L2310試験）〔海外データ〕（「V.5.（5）患者・病
態別試験」の項参照）
 
（6）特に注意すべき副作用として急性腎障害等、腎関連の副作用の発現リスクがある。重
度の腎障害（クレアチニンクリアランス35mL/min未満）のある患者及び脱水状態（高
熱、高度な下痢及び嘔吐等）にある患者に対しては禁忌である。また、急性腎障害の
リスクを有する患者では投与後1～2週を目安に腎機能検査を実施するなど、患者の腎
機能に注意する必要がある。（「VIII.5.重要な基本的注意とその理由」および「VIII.6.特定
の背景を有する患者に関する注意」の項参照）
 
（7）本剤投与後に比較的よくみられる副作用に急性期反応（本剤の投与から3日以内に発
現する発熱、関節痛、倦怠感、筋肉痛、インフルエンザ様症状、頭痛等の症状）があ
る。特  にビスホスホネート製剤の  投与経験がない患者では急性期反応が起 こりやすい
ことがわかっているので、本剤投与前に急性期反応について患者に十分に説明する必
要がある。（「VIII.8.副作用」の項参照）
 
（8）副作用
国内第III相臨床試験における安全性評価対象症例333例中197例（59.2%）に副作用
（臨床検査値の異常を含む）が認められた。主な副作用は、発熱131例（39.3%）、関
節痛36例（10.8%）、筋肉痛27例（8.1%）、倦怠感26例（7.8%）、インフルエンザ様
疾患23例（6.9%）、血中カルシウム減少21例（6.3%）、頭痛20例（6.0%）等であっ
た。（承認時）
なお、重大な副作用として、急性腎障害（頻度不明※）、 間質性腎炎（頻度不明※） 、
ファンコニー症候群（頻度不明※）、低カルシウム血症（0.3%）、顎骨壊死・顎骨骨髄炎
（頻度不明※）、 外耳道骨壊死（頻度不明）、大腿骨転子下及び近位大腿骨骨幹部の非定
型骨折（頻度不明※）、 アナフィラキシー（頻度不明※）が認められたとの報告がある。
（「VIII.8.副作用」の項参照）
※：外国において発現した副作用であるため、頻度不明"
IF_1_2,rdfs:seeAlso,"IF_5_5_4, IF_5_5_5, IF_8_5, IF_8_6, IF_8_8"
IF_1_3,rdf:value,該当しない。
IF_1_3,rdfs:seeAlso,
IF_1_4,,
IF_1_4_1,rdf:value,有
IF_1_4_1,rdfs:comment,（「I.6.ＲＭＰの概要」の項参照）
IF_1_4_1,rdfs:seeAlso,IF_1_6
IF_1_4_2,rdf:value,有
IF_1_4_2,rdfs:comment,"医療従事者向け資材：「リクラストの適正使用について」
・患者向け資材：「リクラストの治療を始める患者
さんへご注意いただきたいこと」
・患者カード
（「XIII.備考」の項参照）"
IF_1_4_2,rdfs:seeAlso,IF_13
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,有
IF_1_4_4,rdfs:comment,"使用薬剤の薬価（薬価基準）の一部改正等につい
て（保医発1117第4号　平成28年11月17日）
（「X.14.保険給付上の注意」の項参照"
IF_1_5,,IF_10_14
IF_1_5_1,rdf:value,承認条件：医薬品リスク管理計画を策定の上、適切に実施すること。
IF_1_5_2,rdf:value,該当しない。
IF_1_5_2,rdfs:seeAlso,
IF_1_6,rdf:value,
IF_1_6,rdfs:seeAlso,
IF_2,,
IF_2_1,,
IF_2_1_1,rdf:value,リクラストⓇ点滴静注液5mg
