subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,100898_3999423A4027_1_06
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,100898_3999423A4027_1_008_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,3999423A4027
,,
3999423A4027,ifo:if_0_8,リクラスト点滴静注液5mg
3999423A4027,ifo:if_0_9,注射剤
3999423A4027,ifo:if_0_11,"1ボトル（100 mL）中 ゾレドロン酸水和物5.33 mg（ゾレドロン酸として 5.0 mg）含有"
3999423A4027,ifo:if_0_13,2016-09-28
3999423A4027,ifo:if_0_14,2016-11-18
3999423A4027,ifo:if_0_15,2016-11-25
3999423A4027,ifo:if_10_8,22800AMX00682000
3999423A4027,ifo:yakka_code,3999423A4027
3999423A4027,ifo:yj_code,3999423A4027
3999423A4027,ifo:hot_code,125186901
3999423A4027,ifo:resept_code,622518601
,,
,ifo:if_0_8,
,ifo:if_0_9,
,ifo:if_0_11,
,ifo:if_0_13,
,ifo:if_0_14,
,ifo:if_0_15,
,ifo:if_10_8,
,ifo:yakka_code,
,ifo:yj_code,
,ifo:hot_code,
,ifo:resept_code,
