subject,predicate,object
IF_0_3,dct:modified,2020-03
IF_0_3,pav:version,14
IF_0_4,rdf:value,873999
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,ヒト型抗ヒトIL-12/23p40モノクローナル抗体製剤
IF_0_8,rdf:value,"ステラーラ®皮下注45mgシリンジ, ステラーラ®点滴静注130mg"
IF_0_9,,
IF_0_10,rdf:value,"生物由来製品、劇薬、処方箋医薬品※
※注意―医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,ウステキヌマブ（遺伝子組換え）［JAN］
IF_0_12,rdf:value,"Ustekinumab（Genetical Recombination）［JAN］"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元： ヤンセンファーマ株式会社
販売元： 田辺三菱製薬株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"＜乾癬・クローン病・潰瘍性大腸炎に関するお問い合わせ＞
ヤンセンファーマ株式会社 メディカルインフォメーションセンター
フリーダイヤル： 0120-183-275　FAX ： 0120-275-831
（土・日・祝日及び会社休日を除く）
医薬品情報サイト： www.janssenpro.jp
＜クローン病・潰瘍性大腸炎に関するお問い合わせ＞
田辺三菱製薬株式会社 くすり相談センター
フリーダイヤル： 0120-753-280
受付時間： 9 ： 00～17 ： 30 （土・日・祝日及び会社休日を除く）
医療関係者向けホームページ： https://medical.mt-pharma.co.jp"
IF_0_19,rdf:value,2020-03
IF_1,,
IF_1_1,rdf:value,"ウステキヌマブは、米国セントコア社（現Janssen Biotech, Inc.）で開発されたヒトIL-12/23p40（IL-12及び
IL-23が共有するp40ユニット）に対するヒト免疫グロブリンG（IgG）1κモノクローナル抗体です。ウステキヌマブ
はIL-12及びIL-23に共通のサブユニットIL-12/23p40に高い親和性で結合し、IL-12及びIL-23が免疫細胞表
面の受容体複合体に結合するのを阻止して生物活性を中和するという新しい作用機序を有する薬剤です。
＜乾癬＞
乾癬では、IL-12やIL-23によって活性化されるヘルパーT細胞及びナチュラルキラー細胞といった免疫担当
細胞の細胞内シグナル伝達及びサイトカイン分泌が重要な役割を担っています。したがって、免疫担当細胞の
細胞応答を中和することにより、乾癬患者の表皮肥厚などの症状改善が可能となります。
海外で実施した中等症から重症の局面型皮疹を有する乾癬（尋常性乾癬及び関節症性乾癬）患者を対象とし
た臨床試験で、ウステキヌマブによる乾癬の皮膚症状及びQOLの改善が認められ、カナダで2008年12月に承
認されて以来、欧州では2009年1月、米国では2009年9月に承認されています。
本邦でも、日本人の中等症から重症の局面型乾癬患者を対象とした臨床試験においてウステキヌマブ皮下注
製剤の有効性・安全性が確認され、2011年1月に既存治療で効果不十分な疾患「尋常性乾癬及び関節症性
乾癬」を効能・効果として承認されました。
＜クローン病＞
日本も参加した中等症から重症の活動期クローン病患者を対象とした第Ⅲ相国際共同試験3試験で、ウステキ
ヌマブ静脈内投与による導入療法及び皮下投与による維持療法における有効性･安全性が確認され、2017年
3月にウステキヌマブ点滴静注製剤が「中等症から重症の活動期クローン病の導入療法（既存治療で効果不
十分な場合に限る）」を効能･効果として承認されました。また、同時にウステキヌマブ皮下注製剤では「中等症
から重症の活動期クローン病の維持療法（既存治療で効果不十分な場合に限る）」が効能･効果として追加承
認されました。
＜潰瘍性大腸炎＞
日本も参加した中等症から重症の活動期潰瘍性大腸炎患者を対象とした第Ⅲ相国際共同試験2試験（導入
試験及び維持試験）で、ウステキヌマブ静脈内投与による導入療法及び皮下投与による維持療法における有
効性・安全性が確認され、2020年3月にウステキヌマブ点滴静注製剤が「中等症から重症の潰瘍性大腸炎の
寛解導入療法（既存治療で効果不十分な場合に限る）」を効能・効果として追加承認されました。また、同時に
ウステキヌマブ皮下注製剤が「中等症から重症の潰瘍性大腸炎の維持療法（既存治療で効果不十分な場合
に限る）」を効能・効果として追加承認されました。"
IF_1_1,dct:references,
