subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,800155_3999431A1022_1_08
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,800155_3999431A1022_1_015_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"3999431G1025, 3999431A1022"
,,
3999431G1025,ifo:if_0_8,ステラーラ®皮下注45mgシリンジ
3999431G1025,ifo:if_0_9,注射剤（プレフィルドシリンジ）
3999431G1025,ifo:if_0_11,1シリンジ0.5mL中ウステキヌマブ（遺伝子組換え）45mg含有
3999431G1025,ifo:if_0_13,2011-01-21
3999431G1025,ifo:if_0_14,2011-03-11
3999431G1025,ifo:if_0_15,2011-03-14
3999431G1025,ifo:if_10_8,22300AMX00422000
3999431G1025,ifo:yakka_code,3999431G1025
3999431G1025,ifo:yj_code,3999431G1025
3999431G1025,ifo:hot_code,120465001
3999431G1025,ifo:resept_code,622046501
,,
3999431A1022,ifo:if_0_8,ステラーラ®点滴静注130mg
3999431A1022,ifo:if_0_9,注射剤（バイアル）
3999431A1022,ifo:if_0_11,1バイアル26mL中ウステキヌマブ（遺伝子組換え）130mg含有
3999431A1022,ifo:if_0_13,2017-03-30
3999431A1022,ifo:if_0_14,2017-05-24
3999431A1022,ifo:if_0_15,2017-05-24
3999431A1022,ifo:if_10_8,22900AMX00514000
3999431A1022,ifo:yakka_code,3999431A1022
3999431A1022,ifo:yj_code,3999431A1022
3999431A1022,ifo:hot_code,125547801
3999431A1022,ifo:resept_code,622554701
