subject,predicate,object
IF_0_3,dct:modified,2020-01
IF_0_3,pav:version,11
IF_0_4,rdf:value,873969
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,選択的SGLT2阻害剤－糖尿病治療剤－
IF_0_8,rdf:value,"イプラグリフロジン L-プロリン錠"
IF_0_9,,
IF_0_10,rdf:value,処方箋医薬品(注意－医師等の処方箋により使用すること)
IF_0_11,,
IF_0_12,rdf:value,イプラグリフロジンL-プロリン(JAN)
IF_0_12,rdf:value,"Ipragliflozin L-Proline (JAN)"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売：アステラス製薬株式会社
販売提携：寿製薬株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"アステラス製薬株式会社
メディカルインフォメーションセンターTEL 0120-189-371
医療従事者向け情報サイト(Astellas Medical Net)
https://amn.astellas.jp/
寿製薬株式会社TEL 0268-82-2211
ホームページ
http://www.kotobuki-pharm.co.jp/"
IF_0_19,rdf:value,2020-01
IF_1,,
IF_1_1,rdf:value,"スーグラ(一般名：イプラグリフロジンL-プロリン、以下、イプラグリフロジン)は、アステラス製薬株式
会社と寿製薬株式会社との共同研究において見出され、国内で創製された選択的SGLT2(sodium glucose
co-transporter 2)阻害剤である。
体内で消化・吸収されたグルコースは、血液循環を介して腎臓に到達し、糸球体で濾過された後に腎近
位尿細管で再吸収されるが、腎近位尿細管におけるグルコース再吸収にはSGLT2 が主たる役割を担って
いる1)。スーグラはSGLT2 の働きを阻害し、腎近位尿細管でのグルコース再吸収を阻害することにより、
血液中の過剰なグルコースを体外に排出することで血糖降下作用を発揮する。
現在、様々な作用メカニズムを有する糖尿病治療薬が使用されているが、国内55 施設において2008 年
1～7 月に実施された調査結果では、経口血糖降下薬で治療中の糖尿病患者のうち良好な血糖管理が達成さ
れている割合は38.6％に過ぎないことが報告されており2)、未だ血糖管理に対するアンメットニーズは存
在していると考えられる。スーグラは腎臓に作用し、インスリン非依存性に血糖降下作用を発現すること
から、インスリンの直接作用に起因する副作用が発現し難いことが期待される。以上のことから、国内に
おいて2006 年より臨床開発に着手し、日本人2 型糖尿病患者に対する本剤の臨床的有用性が確認され、
2014 年1 月に「2 型糖尿病」の効能又は効果で承認された。その後、服薬コンプライアンスの向上を目指
し、スーグラ錠50mg を小型化する開発に取り組み、2015 年1 月に一部変更承認を取得した。
さらに1 型糖尿病の治療は2 型糖尿病の治療と比較して薬物療法の選択肢が限られており、1 型糖尿病患
者では平均HbA1c 値が2 型糖尿病患者より高く、血糖コントロールが十分ではない患者が存在している。
1 型糖尿病患者に対する現行の基本療法としてインスリン療法が行われているが、インスリン投与量を増
加することで低血糖を来す可能性があり、インスリンの投与量を十分増量できない患者が存在する。また、
長期リスクとして体重増加などにも注意が必要である。スーグラは、インスリン製剤とは作用機序が異な
ることからインスリン製剤との相加的な血糖降下作用を発現し、体重減少作用も示すことが期待され、1
型糖尿病治療薬として臨床開発された。1 型糖尿病患者を対象とした国内臨床試験の結果から、スーグラ
の有効性及び安全性が確認され、2018 年12 月に「1 型糖尿病」の効能又は効果並びに用法及び用量が追
加承認された。"
IF_1_1,dct:references,"1, 2"
IF_1_2,rdf:value,"(1)腎臓でのグルコース再吸収を抑制する、日本初の選択的SGLT2 阻害剤である。
(「Ⅵ.2.(1)作用部位・作用機序」の項参照)
(2)2 型糖尿病患者において、1 日1 回朝食前又は朝食後の経口投与により、HbA1c 低下作用を示し、その
作用は長期(52 週)にわたり維持された。
(「Ⅴ.5.(4)1)①i)第Ⅲ相単独療法試験」及び「Ⅴ.5.(4)2)①iv)長期投与試験」の項参照)
(3)インスリン療法にて血糖管理不十分な1 型糖尿病患者において、インスリン製剤との併用下で、1 日1
回朝食前又は朝食後の経口投与により、HbA1c 低下作用を示し、その作用は長期(52 週)にわたり維持さ
れた。また、総インスリン1 日投与量の低下もみられた。
(「Ⅴ.5.(4)1)②i)第Ⅲ相臨床試験」の項参照)
(4)1 型糖尿病患者に対しては、インスリン製剤の投与を中止しないこと。インスリン製剤の投与を中止し
た場合、急激な高血糖や糖尿病性ケトアシドーシスが発現するおそれがある。
(「Ⅴ.4.用法及び用量に関連する注意」及び「Ⅷ．5.重要な基本的注意とその理由」の項参照)
(5)1 型糖尿病患者においてはインスリン製剤と併用されるため低血糖の発現に注意が必要である。2 型糖
尿病患者においても、特に、インスリン製剤、スルホニルウレア剤、速効型インスリン分泌促進剤又は
GLP-1 受容体作動薬との併用時は低血糖リスクが増大する可能性がある。
(「Ⅷ．5.重要な基本的注意とその理由」及び「Ⅷ.7.(2)併用注意とその理由」の項参照)
(6)低血糖以外に注意すべき副作用として、脱水リスクの増大、尿路・性器感染症、栄養不良状態の悪化、
尿中及び血中ケトン体の増加がある。これらのリスクを有する患者に投与する際は慎重に経過を観察す
る必要がある。特に1 型糖尿病患者についてはケトアシドーシスのリスクが高まるため、インスリン製
剤の過度な減量に注意する。
(「Ⅷ.5.重要な基本的注意とその理由」、「Ⅷ.6.特定の背景を有する患者に関する注意」及び
「Ⅷ.7.(2)併用注意とその理由」の項参照)
(7)副作用の概要
2 型糖尿病
承認時までの国内の臨床試験では、1,669 例中549 例(32.9％)に臨床検査値異常を含む副作用が認められ
た。主な副作用は頻尿、口渇、便秘、尿中β2 ミクログロブリン増加、体重減少であった。
(承認時：2014 年1 月)
1 型糖尿病
承認時までの国内の臨床試験では、201 例中197 例(98.0％)に臨床検査値異常を含む副作用が認められた。
主な副作用は低血糖、血中ケトン体増加、体重減少、膀胱炎、頻尿、口渇、ケトーシス、陰部そう痒症、
便秘、頭痛、細菌尿であった。
(効能・効果追加時：2018 年12 月)
重大な副作用として低血糖、腎盂腎炎、外陰部及び会陰部の壊死性筋炎(フルニエ壊疽)、敗血症、脱水、
ケトアシドーシス及びショック、アナフィラキシーが報告されている。
(「Ⅷ.8.副作用」の項参照)"
IF_1_2,rdfs:seeAlso,"IF_6_2_1, IF_5_5_4, IF_5_5_4, IF_5_4, IF_8_5, IF_8_7_2, IF_8_6, IF_8_8"
IF_1_3,rdf:value,錠剤の識別性を高める目的で、製品名・含量を両面印字している。(「Ⅳ.1.剤形」の項参照)
IF_1_3,rdfs:seeAlso,IF_4_1
IF_1_4,,
IF_1_4_1,rdf:value,有
IF_1_4_1,rdfs:comment,"(「Ⅰ.6.RMP の概要」の項参照)"
IF_1_4_1,rdfs:seeAlso,IF_1_6
IF_1_4_2,rdf:value,有
IF_1_4_2,rdfs:comment,"・医療従事者向け資材：
「スーグラ®錠25mg、50mg 適正使用ガイド」
・患者向け資材：
服薬説明冊子「スーグラ®錠25mg，50mg を服用され
る患者さんへ」
服薬説明リーフ「スーグラ錠®を服用される患者さん
へ」
服薬時注意喚起カード「スーグラ®錠を服用される1
型糖尿病患者さんへ」
患者カード「私は糖尿病の治療のためスーグラ®錠
(SGLT2 阻害薬)を服用しています。」
「服薬指導用下敷き(1 型糖尿病)」
（「XⅢ．備考」の項参照）"
IF_1_4_2,rdfs:seeAlso,IF_13
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,無
IF_1_4_4,rdfs:comment,
IF_1_5,,
IF_1_5_1,rdf:value,"医薬品リスク管理計画を策定の上、適切に実施すること。(「6.RMP の概要」の項参照)"
IF_1_5_1,rdfs:seeAlso,IF_6
IF_1_5_2,rdf:value,該当しない
IF_1_5_2,rdfs:seeAlso,
IF_1_6,rdf:value,
IF_1_6,rdfs:seeAlso,
IF_2,,
IF_2_1,,
IF_2_1_1,rdf:value,スーグラ錠25mg、スーグラ錠50mg
IF_2_1_2,rdf:value,"Suglat Tablets 25mg・50mg"
IF_2_1_3,rdf:value,"本剤の薬効発現の作用機序に関連する、SGLT2(sodium glucose co-transporter 2)のローマ字部分S・G・L・T を
とって、スーグラ(Suglat)と命名した。"
IF_2_2,,
IF_2_2_1,rdf:value,イプラグリフロジンL-プロリン(JAN)
IF_2_2_2,rdf:value,"Ipragliflozin L-Proline (JAN)
ipragliflozin (INN)"
IF_2_2_3,rdf:value,"SGLT2 阻害剤：-gliflozin"
IF_2_3,rdf:value,
IF_2_4,rdf:value,"分子式：C21H21FO5S･C5H9NO2
分子量：519.58"
IF_2_5,rdf:value,"(1S)-1,5-Anhydro-1-C-{3-[(1-benzothiophen-2-yl)methyl]-4-fluorophenyl}-D-glucitol-(2S)-pyrrolidine-
2-carboxylic acid (1:1) (IUPAC)"
IF_2_6,rdf:value,治験番号：ASP1941
IF_3,,
IF_3_1,,
IF_3_1_1,rdf:value,白色～微帯褐白色の結晶又は粉末である。
IF_3_1_2,rdf:value,
IF_3_1_3,rdf:value,吸湿性は認められない。
IF_3_1_4,rdf:value,融点：約205℃(分解)
IF_3_1_5,rdf:value,"pH 1～12 の範囲に酸解離定数を持たない。"
IF_3_1_6,rdf:value,
IF_3_1_6,rdfs:comment,
IF_3_1_7,rdf:value,"旋光度［α］20
D ：-9.68°(2.5g、液体クロマトグラフィー用アセトニトリル/水混液(7：3)、50mL、100mm)"
IF_3_2,rdf:value,
IF_3_3,rdf:value,"確認試験法
(1)紫外可視吸光度測定法
(2)赤外吸収スペクトル測定法
定量法
液体クロマトグラフィー"
IF_4,,
IF_4_1,,
IF_4_1_1,rdf:value,"スーグラ錠25mg：フィルムコーティング錠
スーグラ錠50mg：フィルムコーティング錠"
IF_4_1_2,rdf:value,
IF_4_1_3,rdf:value,該当しない
IF_4_1_4,rdf:value,該当しない
IF_4_1_5,rdf:value,該当しない
IF_4_2,,
IF_4_2_1,rdf:value,"「医薬品添加物の記載に関する申し合わせについて」(平成13 年10 月1 日 日薬連発第712 号)並びに「『医
薬品添加物の記載に関する自主申し合わせ』の実施について」(平成14 年3 月13 日 日薬連発第170 号)
に基づき全添加剤について記載した。添加剤は以下のとおり。"
IF_4_2_2,rdf:value,該当しない
IF_4_2_3,rdf:value,該当しない
IF_4_3,rdf:value,該当しない
IF_4_4,rdf:value,該当しない
IF_4_5,rdf:value,原薬由来の類縁物質は製剤中では増加しない。その他、0.1％を超える製剤特有の分解物は認められていない。
IF_4_6,rdf:value,
IF_4_7,rdf:value,該当しない
IF_4_7,rdfs:seeAlso,
IF_4_8,rdf:value,該当しない
IF_4_9,rdf:value,"日局一般試験法(パドル法)により試験を行うとき、これに適合する。
条件：試験液 0.1mol/L 塩酸試液、900mL
回転数 毎分50 回転
分析法：液体クロマトグラフィー"
IF_4_10,,
IF_4_10_1,rdf:value,該当資料なし
IF_4_10_2,rdf:value,"＜スーグラ錠25mg＞
100 錠(10 錠×10)、140 錠(14 錠×10)
＜スーグラ錠50mg＞
100 錠(10 錠×10)、140 錠(14 錠×10)、300 錠(バラ、乾燥剤入り)、500 錠(10 錠×50)"
IF_4_10_3,rdf:value,該当しない
IF_4_10_4,rdf:value,"＜スーグラ錠25mg、スーグラ錠50mg＞
〔PTP 包装〕
PTP：表－ポリ塩化ビニル 裏－アルミニウム
ピロー：ポリプロピレン
＜スーグラ錠50mg＞
〔ボトル包装〕
ボトル：ポリエチレン、キャップ：ポリプロピレン、パッキン：ポリエチレン、
添付文書入り容器：ポリプロピレン"
IF_4_11,rdf:value,該当資料なし
IF_4_12,rdf:value,該当しない
IF_5,,
IF_5_1,rdf:value,"2 型糖尿病
1 型糖尿病"
IF_5_2,ifo:item,"item1, item2"
item1,rdf:value,"効能共通
臨床試験成績より、腎機能低下に伴い血糖降下作用が減弱することが示唆された。本剤は糸球体で濾過
されたグルコースの腎尿細管での再吸収を阻害することによって血糖降下作用を発揮するため、著しく
糸球体濾過量が低下している重度の腎機能障害のある患者又は透析中の末期腎不全患者では本剤の効果
が期待できないことより設定した。また、中等度の腎機能障害のある患者では本剤の効果が十分に得ら
れない可能性があるため投与の必要性を慎重に判断するよう設定した。(「Ⅴ.5.(5)1)腎機能低下患者試
験(2 型糖尿病患者)」、「Ⅷ.5.重要な基本的注意とその理由8.3」及び「Ⅷ.6.(2)腎機能障害患者」の項
参照)"
item1,dct:references,
item1,rdfs:seeAlso,"IF_5_5_5, IF_8_5, IF_8_6_2"
item2,rdf:value,"1 型糖尿病
インスリン療法にて血糖管理が不十分な1 型糖尿病患者を対象とした臨床試験において、本剤の有効性
並びに安全性が確認されたことから設定した。"
item3,rdf:value,
item4,rdf:value,
item5,rdf:value,
item6,rdf:value,
item7,rdf:value,
item8,rdf:value,
item9,rdf:value,
item10,rdf:value,
item11,rdf:value,
IF_5_3,,
IF_5_3_1,rdf:value,"＜2 型糖尿病＞
通常、成人にはイプラグリフロジンとして50mg を1 日1 回朝食前又は朝食後に経口投与する。なお、
効果不十分な場合には、経過を十分に観察しながら100mg 1 日1 回まで増量することができる。
＜1 型糖尿病＞
インスリン製剤との併用において、通常、成人にはイプラグリフロジンとして50mg を1 日1 回朝食前
又は朝食後に経口投与する。なお、効果不十分な場合には、経過を十分に観察しながら100mg 1 日1
回まで増量することができる。
(解説)
食事の影響試験で本剤の薬物動態パラメータに及ぼす食事の影響を検討したところ、食後投与では食前投
与と比較してCmax は約33％低かったもののAUClast に影響は認められなかった。また単独長期投与試験で
朝食前又は朝食後において本剤投与前後の有効性及びを検討した結果、用法による違いは見られなかった
ことから、朝食前又は朝食後に経口投与とした。(「Ⅶ.1.(4)食事・併用薬の影響」の項参照)"
IF_5_3_1,rdfs:seeAlso,IF_7_1_4
