subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,800126_3969018F1022_1_13
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,800126_3969018F1022_1_011_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"3969018F1022, 3969018F2029"
,,
3969018F1022,ifo:if_0_8,スーグラ錠25mg：
3969018F1022,ifo:if_0_9,フィルムコーティング錠
3969018F1022,ifo:if_0_11,"1 錠中にイプラグリフロジンとして25mg 含有する。"
3969018F1022,ifo:if_0_13,2018-12-21
3969018F1022,ifo:if_0_14,2014-04-17
3969018F1022,ifo:if_0_15,2014-04-17
3969018F1022,ifo:if_10_8,22600AMX00009
3969018F1022,ifo:yakka_code,3969018F1022
3969018F1022,ifo:yj_code,3969018F1022
3969018F1022,ifo:hot_code,123066601
3969018F1022,ifo:resept_code,622306601
,,
3969018F2029,ifo:if_0_8,スーグラ錠50mg
3969018F2029,ifo:if_0_9,フィルムコーティング錠
3969018F2029,ifo:if_0_11,"1 錠中にイプラグリフロジンとして50mg 含有する。"
3969018F2029,ifo:if_0_13,2018-12-21
3969018F2029,ifo:if_0_14,2014-04-17
3969018F2029,ifo:if_0_15,2014-04-17
3969018F2029,ifo:if_10_8,22600AMX00010
3969018F2029,ifo:yakka_code,3969018F2029
3969018F2029,ifo:yj_code,3969018F2029
3969018F2029,ifo:hot_code,123067301
3969018F2029,ifo:resept_code,622306701
