subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,17222166
1,ifo:internal_reference_id,SGL-00028
2,rdf:type,bibo:Article
2,dct:creator,"金塚東 他"
2,prism:publicationName,糖尿病
2,prism:volume,53
2,prism:number,20
2,prism:startingPage,737
2,prism:endingPage,744
2,dct:issued,2010
2,ifo:internal_reference_id,R-06364
3,rdf:type,bibo:Article
3,dct:creator,"Kadokura, T. et al."
3,prism:publicationName,"Diabetol. Int."
3,prism:volume,2
3,prism:number,4
3,prism:startingPage,172
3,prism:endingPage,182
3,dct:issued,2011
3,ifo:internal_reference_id,SGL-00020
4,rdf:type,bibo:Document
4,rdfs:label,健康成人・第Ⅰ相試験
4,dct:dateAccepted,2014-01-17
4,ifo:internal_reference_id,DIR130186
4,ifo:ctd_number,"CTD 2.7.6.3"
5,rdf:type,bibo:Article
5,dct:references,25149596
5,ifo:internal_reference_id,SGL-00089
6,rdf:type,bibo:Document
6,rdfs:label,2型糖尿病患者・血糖日内変動試験
6,dct:dateAccepted,2014-01-17
6,ifo:internal_reference_id,DIR130199
6,ifo:ctd_number,"CTD 2.7.6.20"
7,rdf:type,bibo:Document
7,rdfs:label,1型糖尿病患者・PK/PD試験
7,dct:dateAccepted,2018-12-21
7,ifo:internal_reference_id,DIR180297
7,ifo:ctd_number,"CTD 2.7.6.1"
8,rdf:type,bibo:Article
8,dct:references,30821047
8,ifo:internal_reference_id,SGL-00884
9,rdf:type,bibo:Document
9,rdfs:label,1型糖尿病患者・PK/PD試験要約
9,dct:dateAccepted,2018-12-21
9,ifo:internal_reference_id,DIR190224
9,ifo:ctd_number,CTD2.7.2.2.1
10,rdf:type,bibo:Document
10,rdfs:label,PK/PD比較解析
10,dct:dateAccepted,2018-12-21
10,ifo:internal_reference_id,DIR180387
10,ifo:ctd_number,"CTD 2.7.2.3.1.1"
11,rdf:type,bibo:Document
11,rdfs:label,健康成人・QT/QTc評価試験
11,dct:dateAccepted,2014-01-17
11,ifo:internal_reference_id,DIR130145
11,ifo:ctd_number,CTD2.7.6.18
12,rdf:type,bibo:Article
12,dct:references,25411597
12,ifo:internal_reference_id,SGL-00073
13,rdf:type,bibo:Document
13,rdfs:label,第Ⅱ相用量設定試験
13,dct:dateAccepted,2014-01-17
13,ifo:internal_reference_id,DIR130200
13,ifo:ctd_number,"CTD 2.7.6.21"
14,rdf:type,bibo:Document
14,rdfs:label,体重・臨床的有用性
14,dct:dateAccepted,2014-01-17
14,ifo:internal_reference_id,DIR130182
14,ifo:ctd_number,"CTD 2.7.3.3.2.2.2"
15,rdf:type,bibo:Document
15,rdfs:label,空腹時インスリン・臨床的有用性
15,dct:dateAccepted,2014-01-17
15,ifo:internal_reference_id,DIR130151
15,ifo:ctd_number,"CTD 2.7.3.3.2.2.5"
16,rdf:type,bibo:Document
16,rdfs:label,レプチン・臨床的有用性
16,dct:dateAccepted,2014-01-17
16,ifo:internal_reference_id,DIR130150
16,ifo:ctd_number,"CTD 2.7.3.3.2.2.4"
17,rdf:type,bibo:Document
17,rdfs:label,アディポネクチン・臨床的有用性
17,dct:dateAccepted,2014-01-17
17,ifo:internal_reference_id,DIR130152
17,ifo:ctd_number,"CTD 2.7.3.3.2.2.7"
18,rdf:type,bibo:Article
18,dct:creator,"Kashiwagi, A. et al."
18,prism:publicationName,"Diabetol. Int."
18,prism:volume,6
18,prism:number,1
18,prism:startingPage,8
18,prism:endingPage,18
18,dct:issued,2015
18,ifo:internal_reference_id,SGL-00224
19,rdf:type,bibo:Document
19,rdfs:label,2型糖尿病患者・第Ⅲ相単独療法試験
19,dct:dateAccepted,2014-01-17
19,ifo:internal_reference_id,DIR130201
19,ifo:ctd_number,"CTD 2.7.6.22"
20,rdf:type,bibo:Article
20,dct:references,24919820
20,ifo:internal_reference_id,SGL-00176
21,rdf:type,bibo:Document
21,rdfs:label,2型糖尿病患者・メトホルミン併用試験
21,dct:dateAccepted,2014-01-17
21,ifo:internal_reference_id,DIR130202
21,ifo:ctd_number,"CTD 2.7.6.23"
22,rdf:type,bibo:Article
22,dct:creator,"Kashiwagi, A. et al."
22,prism:publicationName,"Diabetol. Int."
22,prism:volume,6
22,prism:number,2
22,prism:startingPage,104
22,prism:endingPage,116
22,dct:issued,2015
22,ifo:internal_reference_id,SGL-00348
23,rdf:type,bibo:Document
23,rdfs:label,2型糖尿病患者・ピオグリタゾン併用試験
23,dct:dateAccepted,2014-01-17
23,ifo:internal_reference_id,DIR130203
23,ifo:ctd_number,"CTD 2.7.6.24"
24,rdf:type,bibo:Article
24,dct:creator,"Kashiwagi, A. et al."
24,prism:publicationName,"Diabetol. Int."
24,prism:volume,6
24,prism:number,2
24,prism:startingPage,125
24,prism:endingPage,138
24,dct:issued,2015
24,ifo:internal_reference_id,SGL-00345
25,rdf:type,bibo:Document
25,rdfs:label,2型糖尿病患者・スルホニルウレア剤併用試験
25,dct:dateAccepted,2014-01-17
25,ifo:internal_reference_id,DIR130204
25,ifo:ctd_number,"CTD 2.7.6.25"
26,rdf:type,bibo:Document
26,rdfs:label,1型糖尿病患者・第Ⅲ相試験
26,dct:dateAccepted,2018-12-21
26,ifo:internal_reference_id,DIR180298
26,ifo:ctd_number,"CTD 2.7.6.2"
27,rdf:type,bibo:Article
27,dct:references,31173455
27,ifo:internal_reference_id,SGL-00932
28,rdf:type,bibo:Document
28,rdfs:label,1型糖尿病患者・低血糖に関連する有害事象
28,dct:dateAccepted,2018-12-21
28,ifo:internal_reference_id,DIR180404
28,ifo:ctd_number,"CTD 2.7.4.2.1.5.1"
29,rdf:type,bibo:Article
29,dct:creator,"柏木厚典 他"
29,prism:publicationName,薬理と治療
29,prism:volume,42
29,prism:number,12
29,prism:startingPage,923
29,prism:endingPage,939
29,dct:issued,2014
29,ifo:internal_reference_id,SGL-00165
30,rdf:type,bibo:Document
