subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,400093_6399404A5030_3_01
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,400093_6399404A5030_3_023_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"6399404A6036, 6399404A5030"
,,
6399404A6036,ifo:if_0_8,"販売名変更
スミフェロン注DS600万IU"
6399404A6036,ifo:if_0_9,注射剤
6399404A6036,ifo:if_0_11,"1シリンジ（1mL）中日局インターフェロン アルファ（NAMALWA）600万単位"
6399404A6036,ifo:if_0_13,2009-07-03
6399404A6036,ifo:if_0_14,2009-09-25
6399404A6036,ifo:if_0_15,2009-10
6399404A6036,ifo:if_10_8,22100AMX01815
6399404A6036,ifo:yakka_code,6399404A6036
6399404A6036,ifo:yj_code,6399404A6036
6399404A6036,ifo:hot_code,111638002
6399404A6036,ifo:resept_code,621163801
,,
6399404A6036,ifo:if_0_8,"旧販売名
スミフェロンDS600"
6399404A6036,ifo:if_0_9,注射剤
6399404A6036,ifo:if_0_11,"1シリンジ（1mL）中日局インターフェロン アルファ（NAMALWA）600万単位"
6399404A6036,ifo:if_0_13,1996-10-09
6399404A6036,ifo:if_0_14,1997-07-11
6399404A6036,ifo:if_0_15,1997-09-17
6399404A6036,ifo:if_10_8,20800AMZ10155
6399404A6036,ifo:yakka_code,6399404A6036
6399404A6036,ifo:yj_code,6399404A6036
6399404A6036,ifo:hot_code,111638002
6399404A6036,ifo:resept_code,621163801
,,
6399404A5030,ifo:if_0_8,"販売名変更
スミフェロン注DS300万IU"
6399404A5030,ifo:if_0_9,注射剤
6399404A5030,ifo:if_0_11,"1シリンジ（1mL）中日局インターフェロン アルファ（NAMALWA）300万単位"
6399404A5030,ifo:if_0_13,2009-07-03
6399404A5030,ifo:if_0_14,2009-09-25
6399404A5030,ifo:if_0_15,2010-1
6399404A5030,ifo:if_10_8,22100AMX01814
6399404A5030,ifo:yakka_code,6399404A5030
6399404A5030,ifo:yj_code,6399404A5030
6399404A5030,ifo:hot_code,111637302
6399404A5030,ifo:resept_code,621163701
,,
6399404A5030,ifo:if_0_8,"旧販売名
スミフェロンDS300"
6399404A5030,ifo:if_0_9,注射剤
6399404A5030,ifo:if_0_11,"1シリンジ（1mL）中日局インターフェロン アルファ（NAMALWA）300万単位"
6399404A5030,ifo:if_0_13,1996-10-09
6399404A5030,ifo:if_0_14,1997-07-11
6399404A5030,ifo:if_0_15,1997-09-17
6399404A5030,ifo:if_10_8,20800AMZ10154
6399404A5030,ifo:yakka_code,6399404A5030
6399404A5030,ifo:yj_code,6399404A5030
6399404A5030,ifo:hot_code,111637302
6399404A5030,ifo:resept_code,621163701
