subject,predicate,object
1,rdf:type,bibo:Article
1,dct:creator,木村禧代二
1,prism:publicationName,癌と化学療法
1,prism:volume,11
1,prism:number,
1,prism:startingPage,1324
1,prism:endingPage,1331
1,dct:issued,1984
1,ifo:internal_reference_id,
2,rdf:type,bibo:Article
2,dct:creator,鈴木宏ほか
2,prism:publicationName,肝胆膵
2,prism:volume,13
2,prism:number,983
2,prism:startingPage,985
2,prism:endingPage,
2,dct:issued,1986
2,ifo:internal_reference_id,
3,rdf:type,bibo:Article
3,dct:creator,市田文弘ほか
3,prism:publicationName,肝胆膵
3,prism:volume,24
3,prism:number,
3,prism:startingPage,153
3,prism:endingPage,172
3,dct:issued,1992
3,ifo:internal_reference_id,
4,rdf:type,bibo:Article
4,dct:creator,市田文弘ほか
4,prism:publicationName,肝胆膵
4,prism:volume,32
4,prism:number,
4,prism:startingPage,253
4,prism:endingPage,270
4,dct:issued,1996
4,ifo:internal_reference_id,
5,rdf:type,bibo:Article
5,dct:creator,市田文弘ほか
5,prism:publicationName,肝胆膵
5,prism:volume,24
5,prism:number,
5,prism:startingPage,332
5,prism:endingPage,357
5,dct:issued,1992
5,ifo:internal_reference_id,
6,rdf:type,bibo:Article
6,dct:creator,林紀夫ほか
6,prism:publicationName,肝胆膵
6,prism:volume,24
6,prism:number,
6,prism:startingPage,663
6,prism:endingPage,673
6,dct:issued,1992
6,ifo:internal_reference_id,
7,rdf:type,bibo:Article
7,dct:creator,山田剛太郎ほか
7,prism:publicationName,肝胆膵
7,prism:volume,24
7,prism:number,
7,prism:startingPage,511
7,prism:endingPage,520
7,dct:issued,1992
7,ifo:internal_reference_id,
8,rdf:type,bibo:Article
8,dct:creator,長田達郎ほか
8,prism:publicationName,日本臨床
8,prism:volume,52
8,prism:number,
8,prism:startingPage,1747
8,prism:endingPage,1753
8,dct:issued,1994
8,ifo:internal_reference_id,
9,rdf:type,bibo:Article
9,dct:creator,松本晶博ほか
9,prism:publicationName,医学と薬学
9,prism:volume,35
9,prism:number,
9,prism:startingPage,201
9,prism:endingPage,211
9,dct:issued,1996
9,ifo:internal_reference_id,
10,rdf:type,bibo:Article
10,dct:creator,熊田博光ほか
10,prism:publicationName,医学と薬学
10,prism:volume,59
10,prism:number,
10,prism:startingPage,599
10,prism:endingPage,620
10,dct:issued,2008
10,ifo:internal_reference_id,
11,rdf:type,bibo:Article
11,dct:references,3838955
11,ifo:internal_reference_id,
12,rdf:type,bibo:Article
12,dct:creator,納光弘ほか
12,prism:publicationName,基礎と臨床
12,prism:volume,28
12,prism:number,
12,prism:startingPage,4225
12,prism:endingPage,4271
12,dct:issued,1994
12,ifo:internal_reference_id,
13,rdf:type,bibo:Article
13,dct:creator,市田文弘ほか
13,prism:publicationName,臨床評価
13,prism:volume,15
13,prism:number,
13,prism:startingPage,459
13,prism:endingPage,485
13,dct:issued,
