subject,predicate,object
IF_0_3,dct:modified,2020-07
IF_0_3,pav:version,6
IF_0_4,rdf:value,871179
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,抗精神病剤
IF_0_8,rdf:value,アセナピンマレイン酸塩舌下錠
IF_0_9,,
IF_0_10,rdf:value,劇薬、処方箋医薬品（注意－医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,アセナピンマレイン酸塩（JAN）
IF_0_12,rdf:value,"Asenapine Maleate（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"Meiji Seikaファルマ株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"Meiji Seikaファルマ株式会社"
IF_0_19,rdf:value,2019-10
IF_1,,
