subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,780009_1179056F1021_1_06
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,780009_1179056F1021_1_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,1179056F1021,1179056F2028
,,
1179056F1021,ifo:if_0_8,シクレスト舌下錠5mg
1179056F1021,ifo:if_0_9,舌下錠
1179056F1021,ifo:if_0_11,1錠中アセナピンマレイン酸塩7.03mg（アセナピンとして5.00mg）
1179056F1021,ifo:if_0_13,2016-03-28
1179056F1021,ifo:if_0_14,2016-05-25
1179056F1021,ifo:if_0_15,2016-05-26
1179056F1021,ifo:if_10_8,22800AMX00377000
1179056F1021,ifo:yakka_code,1179056F1021
1179056F1021,ifo:yj_code,1179056F1021
1179056F1021,ifo:hot_code,124968201
1179056F1021,ifo:resept_code,622496801
,,
1179056F2028,ifo:if_0_8,シクレスト舌下錠10mg
1179056F2028,ifo:if_0_9,舌下錠
1179056F2028,ifo:if_0_11,1錠中アセナピンマレイン酸塩14.06mg（アセナピンとして10.00mg）
1179056F2028,ifo:if_0_13,2016-03-28
1179056F2028,ifo:if_0_14,2016-05-25
1179056F2028,ifo:if_0_15,2016-05-26
1179056F2028,ifo:if_10_8,22800AMX00378000
1179056F2028,ifo:yakka_code,1179056F2028
1179056F2028,ifo:yj_code,1179056F2028
1179056F2028,ifo:hot_code,124969901
1179056F2028,ifo:resept_code,622496901
