subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,18308814
2,rdf:type,bibo:Article
2,dct:references,18418367
3,rdf:type,bibo:Book
3,dct:creator,
3,bibo:editor,
3,dct:publisher,"World Health Organization"
3,prism:publicationName,"The use of stems in the selection of international nonproprietary names (INN) for
pharmaceutical substances 2018.(Stem Book 2018)"
3,dct:issued,2018
4,rdf:type,bibo:Document
4,rdfs:label,健康成人における薬物動態試験
4,dct:dateAccepted,2016-03-28
4,ifo:ctd_number,CTD2.7.2.2
5,rdf:type,bibo:Document
5,rdfs:label,健康成人における安全性試験
6,rdf:type,bibo:Document
6,rdfs:label,臨床薬理試験
7,rdf:type,bibo:Document
7,rdfs:label,国際共同第Ⅲ相試験
7,dct:dateAccepted,2016-03-28
7,ifo:ctd_number,CTD2.7.3.2
8,rdf:type,bibo:Article
8,dct:references,27271087
9,rdf:type,bibo:Document
9,rdfs:label,国際共同長期継続投与試験
9,dct:dateAccepted,2016-03-28
9,ifo:ctd_number,CTD2.7.6.41
10,rdf:type,bibo:Article
10,dct:creator,木下利彦ほか
10,prism:publicationName,臨床精神薬理
10,prism:volume,19
10,prism:number,6
10,prism:startingPage,753
10,prism:endingPage,770
10,dct:issued,2016
11,rdf:type,bibo:Document
11,rdfs:label,国内長期投与試験
11,dct:dateAccepted,2016-03-28
11,ifo:ctd_number,CTD2.7.6.62
12,dct:creator,木下利彦ほか
12,prism:publicationName,臨床精神薬理
12,prism:volume,19
12,prism:number,6
12,prism:startingPage,771
12,prism:endingPage,787
12,dct:issued,2016
13,rdf:type,bibo:Document
13,rdfs:label,陰性症状が優勢な統合失調症患者を対象とした長期投与試験
14,rdf:type,bibo:Article
14,dct:references,24075603
15,rdf:type,bibo:Document
15,rdfs:label,プラセボ対照再燃防止試験
16,rdf:type,bibo:Article
16,dct:references,21367356
17,rdf:type,bibo:Document
17,rdfs:label,薬効薬理試験
17,dct:dateAccepted,2016-03-28
17,ifo:ctd_number,CTD2.6.2.2
