subject,predicate,object
IF_0_3,dct:modified,2019-12
IF_0_3,pav:version,14
IF_0_4,rdf:value,873969
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,選択的DPP-4阻害剤
IF_0_8,rdf:value,テネリグリプチン臭化水素酸塩水和物錠
IF_0_9,,
IF_0_10,rdf:value,処方箋医薬品（注意-医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,テネリグリプチン臭化水素酸塩水和物（JAN）
IF_0_12,rdf:value,"Teneligliptin Hydrobromide Hydrate（JAN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元：田辺三菱製薬株式会社
販売元：第一三共株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"第一三共株式会社　製品情報センター
TEL：0120-189-132
FAX：03-6225-1922
医療関係者向けホームページ　
　https://www.medicallibrary-dsc.info"
IF_0_19,rdf:value,2019-06
IF_1,,
IF_1_1,rdf:value,"テネリア錠（一般名：テネリグリプチン臭化水素酸塩水和物）は、田辺三菱製薬株式会社で創
製された初の日本オリジンのジペプチジルペプチダーゼ-4（DPP-4）阻害薬である。テネリア
錠は活性型グルカゴン様ペプチド-1（GLP-1）の血中濃度を上昇させることにより、血糖依存
的なインスリン分泌促進・グルカゴン分泌抑制をもたらし血糖降下作用を発揮する2 型糖尿病
治療剤である。
テネリア錠は、非臨床試験において選択的なDPP-4 阻害作用を示した。臨床試験においては、
食事療法・運動療法のみ、並びに食事療法・運動療法に加えてスルホニルウレア系薬剤又はチ
アゾリジン系薬剤を使用しても血糖コントロールが不十分な2 型糖尿病患者を対象に、テネリ
ア錠を1 日1 回投与したところ、いずれの試験においても優れた血糖コントロール効果が認め
られた。
また、臨床薬理試験において、1 日1 回投与により朝食、昼食、夕食後の血糖値並びに空腹時
血糖値を改善した。
以上の非臨床・臨床試験により、テネリア錠の2 型糖尿病に対する有効性と安全性が確認され
たことから、2011 年8 月に承認申請を行い、2 型糖尿病（①食事療法、運動療法のみ、②食事
療法、運動療法に加えてスルホニルウレア系薬剤を使用、③食事療法、運動療法に加えてチア
ゾリジン系薬剤を使用、のいずれかの治療で十分な効果が得られない場合に限る）を効能・効
果として2012 年6 月にテネリア錠20mg の製造販売承認を取得し、同年9 月に販売を開始した。
その後、「経口血糖降下薬の臨床評価方法に関するガイドライン（薬食審査発0709 第1 号、平
成22 年7 月9 日）」に従い国内で実施した併用試験において、2 型糖尿病患者にグリニド系薬
剤、ビグアナイド系薬剤又はa-グルコシダーゼ阻害剤にテネリア錠を併用投与した場合の安全
性及び有効性が確認されたことから、効能・効果を「2 型糖尿病」として2013 年12 月に承認
を取得した。
また、テネリア錠40mg は、「含量が異なる経口固形製剤の生物学的同等性試験ガイドライン
（薬食審査発第0229 第10 号、平成24 年2 月29 日）」に基づき溶出試験を実施し、錠20mg
との生物学的同等性が確認されたことから、2018 年8 月に製造販売承認を取得し、同年12 月
に販売を開始した。"
IF_1_1,dct:references,
