subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,400315_3969015F3021_1_02
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,400315_3969015F3021_1_170_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"3969015F3021, 3969015F4028"
,,
,,
3969015F1029,ifo:if_0_8,"テネリア錠20mg 100 錠（10 錠×10）"
3969015F1029,ifo:if_0_9,フィルムコーティング錠
3969015F1029,ifo:if_0_11,"1 錠中テネリグリプチン臭化水素酸塩水和物31mg（テネリグリプチンとして20mg）含有"
3969015F1029,ifo:if_0_13,2012-06-29
3969015F1029,ifo:if_0_14,2012-08-28
3969015F1029,ifo:if_0_15,2012-09-10
3969015F1029,ifo:if_10_8,22400AMX00728000
3969015F1029,ifo:yakka_code,3969015F1029
3969015F1029,ifo:yj_code,3969015F1029
3969015F1029,ifo:hot_code,1218268020101
3969015F1029,ifo:resept_code,622182601
,,
3969015F1029,ifo:if_0_8,"テネリア錠20mg 500 錠（10 錠×50）"
3969015F1029,ifo:if_0_9,フィルムコーティング錠
3969015F1029,ifo:if_0_11,"1 錠中テネリグリプチン臭化水素酸塩水和物31mg（テネリグリプチンとして20mg）含有"
3969015F1029,ifo:if_0_13,2012-06-29
3969015F1029,ifo:if_0_14,2012-08-28
3969015F1029,ifo:if_0_15,2012-09-10
3969015F1029,ifo:if_10_8,22400AMX00728000
3969015F1029,ifo:yakka_code,3969015F1029
3969015F1029,ifo:yj_code,3969015F1029
3969015F1029,ifo:hot_code,1218268020102
3969015F1029,ifo:resept_code,622182601
,,
3969015F1029,ifo:if_0_8,"テネリア錠20mg 140 錠（14 錠×10）"
3969015F1029,ifo:if_0_9,フィルムコーティング錠
3969015F1029,ifo:if_0_11,"1 錠中テネリグリプチン臭化水素酸塩水和物31mg（テネリグリプチンとして20mg）含有"
3969015F1029,ifo:if_0_13,2012-06-29
3969015F1029,ifo:if_0_14,2012-08-28
3969015F1029,ifo:if_0_15,2012-09-10
3969015F1029,ifo:if_10_8,22400AMX00728000
3969015F1029,ifo:yakka_code,3969015F1029
3969015F1029,ifo:yj_code,3969015F1029
3969015F1029,ifo:hot_code,1218268020201
3969015F1029,ifo:resept_code,622182601
,,
3969015F1029,ifo:if_0_8,"テネリア錠20mg 700 錠（14 錠×50）"
3969015F1029,ifo:if_0_9,フィルムコーティング錠
3969015F1029,ifo:if_0_11,"1 錠中テネリグリプチン臭化水素酸塩水和物31mg（テネリグリプチンとして20mg）含有"
3969015F1029,ifo:if_0_13,2012-06-29
3969015F1029,ifo:if_0_14,2012-08-28
3969015F1029,ifo:if_0_15,2012-09-10
3969015F1029,ifo:if_10_8,22400AMX00728000
3969015F1029,ifo:yakka_code,3969015F1029
3969015F1029,ifo:yj_code,3969015F1029
3969015F1029,ifo:hot_code,1218268020202
3969015F1029,ifo:resept_code,622182601
,,
3969015F1029,ifo:if_0_8,"テネリア錠20mg 500 錠（バラ）"
3969015F1029,ifo:if_0_9,フィルムコーティング錠
3969015F1029,ifo:if_0_11,"1 錠中テネリグリプチン臭化水素酸塩水和物31mg（テネリグリプチンとして20mg）含有"
3969015F1029,ifo:if_0_13,2012-06-29
3969015F1029,ifo:if_0_14,2012-08-28
3969015F1029,ifo:if_0_15,2012-09-10
3969015F1029,ifo:if_10_8,22400AMX00728000
3969015F1029,ifo:yakka_code,3969015F1029
3969015F1029,ifo:yj_code,3969015F1029
3969015F1029,ifo:hot_code,1218268020301
3969015F1029,ifo:resept_code,622182601
,,
3969015F2025,ifo:if_0_8,"テネリア錠40mg 100 錠（10 錠×10）"
3969015F2025,ifo:if_0_9,フィルムコーティング錠
3969015F2025,ifo:if_0_11,"1 錠中テネリグリプチン臭化水素酸塩水和物62mg（テネリグリプチンとして40mg）含有"
3969015F2025,ifo:if_0_13,2018-08-27
3969015F2025,ifo:if_0_14,2018-11-28
3969015F2025,ifo:if_0_15,2018-12-03
3969015F2025,ifo:if_10_8,23000AMX00795000
3969015F2025,ifo:yakka_code,3969015F2025
3969015F2025,ifo:yj_code,3969015F2025
3969015F2025,ifo:hot_code,1266061010101
3969015F2025,ifo:resept_code,622660601
