subject,predicate,object
1,rdf:type,bibo:Document
1,rdfs:label,田辺三菱製薬（株）：生物学的同等性試験（溶出試験）（社内資料）
1,dct:dateAccepted,2012-06-29
1,ifo:internal_reference_id,
1,ifo:ctd_number,CTD2.7.1.2.1.2
2,rdf:type,bibo:Document
2,rdfs:label,田辺三菱製薬（株）：健康成人を対象とした単回投与試験（社内資料）
2,dct:dateAccepted,2012-06-29
2,ifo:internal_reference_id,
2,ifo:ctd_number,CTD2.7.6.3
3,rdf:type,bibo:Document
3,rdfs:label,田辺三菱製薬（株）：健康成人を対象とした反復投与試験（社内資料）
3,dct:dateAccepted,2012-06-29
3,ifo:internal_reference_id,
3,ifo:ctd_number,CTD2.7.6.4
4,rdf:type,bibo:Document
4,rdfs:label,田辺三菱製薬（株）：探索的試験（社内資料）
4,dct:dateAccepted,2012-06-29
4,ifo:internal_reference_id,
4,ifo:ctd_number,CTD2.7.6.18
5,rdf:type,bibo:Article
5,dct:references,23464664
5,ifo:internal_reference_id,
6,rdf:type,bibo:Document
6,rdfs:label,田辺三菱製薬（株）：用量設定試験（社内資料）、
6,dct:dateAccepted,2012-06-29
6,ifo:internal_reference_id,
6,ifo:ctd_number,CTD2.7.6.19
7,rdf:type,bibo:Document
7,rdfs:label,田辺三菱製薬（株）：検証的試験（社内資料）
7,dct:dateAccepted,2012-06-29
7,ifo:internal_reference_id,
7,ifo:ctd_number,CTD2.7.6.20
8,rdf:type,bibo:Document
8,rdfs:label,田辺三菱製薬（株）：スルホニルウレア系薬剤併用試験（社内資料）
8,dct:dateAccepted,2012-06-29
8,ifo:internal_reference_id,
8,ifo:ctd_number,CTD2.7.6.21
9,rdf:type,bibo:Document
9,rdfs:label,田辺三菱製薬（株）：チアゾリジン系薬剤併用試験（社内資料）
9,dct:dateAccepted,2012-06-29
9,ifo:internal_reference_id,
9,ifo:ctd_number,CTD2.7.6.22
10,rdf:type,bibo:Document
10,rdfs:label,田辺三菱製薬（株）：長期投与試験（社内資料）
10,dct:dateAccepted,2012-06-29
10,ifo:internal_reference_id,
10,ifo:ctd_number,CTD2.7.6.24
11,rdf:type,bibo:Document
11,rdfs:label,田辺三菱製薬（株）：単独及び併用療法長期投与試験（社内資料）
11,dct:dateAccepted,
11,ifo:internal_reference_id,
11,ifo:ctd_number,
12,rdf:type,bibo:Document
12,rdfs:label,田辺三菱製薬（株）：インスリン製剤併用試験（社内資料）
12,dct:dateAccepted,
12,ifo:internal_reference_id,
12,ifo:ctd_number,
13,rdf:type,bibo:Article
13,dct:references,2890903
13,ifo:internal_reference_id,
14,rdf:type,bibo:Article
14,dct:references,23022337
14,ifo:internal_reference_id,
15,rdf:type,bibo:Document
15,rdfs:label,"田辺三菱製薬（株）：in vitro 薬理作用（社内資料）"
15,dct:dateAccepted,2012-06-29
