subject,predicate,object
IF_0_3,dct:modified,2020-05
IF_0_3,pav:version,9
IF_0_4,rdf:value,871149
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,慢性疼痛/抜歯後疼痛治療剤
IF_0_8,rdf:value,"トラムセット® 配合錠"
IF_0_9,,
IF_0_10,rdf:value,劇薬、処方箋医薬品（注意―医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,トラマドール塩酸塩（JAN）・アセトアミノフェン（JAN）
IF_0_12,rdf:value,"Tramadol Hydrochloride（JAN）、tramadol（INN）・Acetaminophen（JAN）、paracetamol（INN）"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売元：ヤンセンファーマ株式会社
販 売：持田製薬株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"持田製薬株式会社 くすり相談窓口
TEL 0120-189-522 03-5229-3906
FAX 03-5229-3955
受付時間
9：00～17：40（土・日、祝日、会社休日を除く）
医療関係者向けホームページ
http://www.mochida.co.jp/dis/index.html"
IF_0_19,rdf:value,2020-04
IF_1,,
IF_1_1,rdf:value,"トラムセット®配合錠は、1錠中にオピオイド（非麻薬）「トラマドール塩酸塩」37.5mgと解熱鎮痛剤「アセトアミノフェン」325mgを配合した本邦初の鎮痛剤である。
トラマドール塩酸塩はドイツ、Grünenthal GmbH社が開発したオピオイド（非麻薬）で、μオピオイド受容体に対する作用及びモノアミン再取り込み阻害作用により、鎮痛効果を示すと考えられている1）〜4）。
アセトアミノフェンは1940年代から汎用されているアニリン系解熱鎮痛剤で、非ステロイド性消炎鎮痛剤（NSAIDs）とは異なり、末梢でのシクロオキシゲナーゼ阻害作用は弱く、主に中枢神経系で鎮痛作用を示すと考えられている5）。
米国R.W.Johnson Pharmaceutical Research Institute社（現Johnson&Johnson Pharmaceutical Research & Development社）は、作用機序の異なるこの2つの鎮痛剤を併用することにより、多様な疼痛疾患に有効性が期待できることに着目し、配合錠の開発を行った。以後、数々の臨床試験を経て、トラマドール塩酸塩/アセトアミノフェン配合錠は世界70以上の国と地域で承認されている（2013年8月現在）。
本邦ではヤンセンファーマ株式会社が臨床試験を実施し、非オピオイド鎮痛剤で治療困難な非がん性慢性疼痛及び抜歯後の疼痛に対して効能・効果をもつ治療剤として、2011年4月、承認を取得した。299例の使用成績調査、1,304例の特定使用成績調査を実施し、2017年7月21日に再審査申請を行った結果、2018年9月27日に医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律第14条第2項第3号イからハまでのいずれにも該当しないとの再審査結果を得た。"
IF_1_1,dct:references,"1, 2, 3, 4, 5"
IF_1_2,rdf:value,"1．非オピオイド鎮痛剤で治療困難な下記の疼痛に対し、優れた有効性を示した。（「Ⅴ-5-（4）-1）有効性検証試験」の項参照）
非がん性慢性疼痛
抜歯後の疼痛
2．国内長期投与試験において、鎮痛効果が52週まで持続し、長期にわたる疼痛コントロールの維持が示された。（「Ⅴ-5-（4）-2）安全性試験」の項参照）
3．世界70以上の国と地域で承認されている（2013年8月現在）。（「ⅩⅡ-1．主な外国での発売状況」の項参照）
4．重大な副作用として、ショック、アナフィラキシー、痙攣、意識消失、依存性、中毒性表皮壊死融解症（Toxic Epidermal Necrolysis：TEN）、皮膚粘膜眼症候群（Stevens-Johnson症候群）、急性汎発性発疹性膿疱症、間質性肺炎、間質性腎炎、急性腎障害、喘息発作の誘発、劇症肝炎、肝機能障害、黄疸、顆粒球減少症、呼吸抑制が報告されている。（「Ⅷ-8-（1）重大な副作用と初期症状」の項参照）"
IF_1_2,rdfs:seeAlso,"IF_5_5_4_1, IF_5_5_4_2, IF_12_1, IF_8_8_1"
IF_1_3,rdf:value,トラマドール塩酸塩とアセトアミノフェンを配合した本邦初の鎮痛剤である。（「Ⅰ-1．開発の経緯」の項参照）
IF_1_3,rdfs:seeAlso,IF_1_1
IF_1_4,,
IF_1_4_1,rdf:value,無
IF_1_4_1,rdfs:comment,
IF_1_4_1,rdfs:seeAlso,
IF_1_4_2,rdf:value,無
IF_1_4_2,rdfs:comment,
IF_1_4_2,rdfs:seeAlso,
IF_1_4_3,rdf:value,無
IF_1_4_3,rdfs:comment,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_3,rdfs:seeAlso,
IF_1_4_4,rdf:value,無
IF_1_4_4,rdfs:comment,
IF_1_5,,
IF_1_5_1,rdf:value,該当しない
IF_1_5_2,rdf:value,該当しない
IF_1_5_2,rdfs:seeAlso,
IF_1_6,rdf:value,該当しない
IF_1_6,rdfs:seeAlso,
IF_2,,
IF_2_1,,
IF_2_1_1,rdf:value,トラムセット®配合錠
IF_2_1_2,rdf:value,"TRAMCET® Combination Tablets"
IF_2_1_3,rdf:value,有効成分の名前の一部（Tramadol：トラマドールとAcetaminophen：アセトアミノフェン）を組み合わせて「Tramcet」とした。
IF_2_2,,
IF_2_2_1,rdf:value,"トラマドール塩酸塩（JAN）
アセトアミノフェン（JAN）"
IF_2_2_2,rdf:value,"Tramadol Hydrochloride（JAN）、tramadol（INN）
Acetaminophen（JAN）、paracetamol（INN）"
IF_2_2_3,rdf:value,"トラマドール：鎮静剤：-adol
アセトアミノフェン：不明"
IF_2_3,rdf:value,
IF_2_4,rdf:value,"■トラマドール塩酸塩
分子式：C16H25NO2・HCl
分子量：299.84
■アセトアミノフェン
分子式：C8H9NO2
分子量：151.16"
IF_2_5,rdf:value,"■トラマドール塩酸塩
(1RS, 2RS)-2-[(Dimethylamino) methyl]-1-(3-methoxyphenyl) cyclohexanol monohydrochloride（European Pharmacopoeia 7.0, 2011, Vol.2）（IUPAC）
もしくは
(±)-trans-2-[(dimethylamino) methyl]-1-(m-methoxyphenyl) cyclohexanol
■アセトアミノフェン
N-(4-Hydroxyphenyl) acetamide（IUPAC）
N-acetyl-p-aminophenol
4’-hydroxyacetanilide
p-hydroxyacetanilide
p -acetaminophenol
p -acetamidophenol（acetaminophen）
p -acetylaminophenol"
IF_2_6,rdf:value,"トラムセット®配合錠：JNS013（開発記号）
アセトアミノフェン：パラセタモール（INN）"
IF_3,,
IF_3_1,,
IF_3_1_1,rdf:value,"トラマドール塩酸塩：白色の結晶性の粉末である。
アセトアミノフェン：白色の結晶又は結晶性の粉末である。"
IF_3_1_2,rdf:value,"トラマドール塩酸塩：水に極めて溶けやすく、メタノール、エタノール（95）又は酢酸（100）に溶けやすい。
アセトアミノフェン：メタノール又はエタノール（95）に溶けやすく、水にやや溶けにくく、ジエチルエーテルに極めて溶けにくい。水酸化ナトリウム試液に溶ける。"
IF_3_1_3,rdf:value,該当資料なし
IF_3_1_4,rdf:value,"トラマドール塩酸塩：180〜184℃
アセトアミノフェン：169〜172℃"
IF_3_1_5,rdf:value,"トラマドール塩酸塩：pKa＝9.3±0.1
アセトアミノフェン：pKa＝9.5（25℃）"
IF_3_1_6,rdf:value,"■トラマドール塩酸塩
該当資料なし
■アセトアミノフェン
該当資料なし"
IF_3_1_6,rdfs:comment,
IF_3_1_7,rdf:value,"■トラマドール塩酸塩
旋光度：0°（5％（w/v）水溶液）
■アセトアミノフェン
該当資料なし"
IF_3_2,rdf:value,"■トラマドール塩酸塩
25℃/60％RH及び30℃/70％RHの条件下で60ヵ月、又は40℃/75％RHの条件下で12ヵ月保存した結果、トラマドール塩酸塩の性状に変化を認めず、融点及び水分の物理学的特性においても著しい変化を認めなかった。本品は非常に安定であり、いかなる分解物の生成も認めなかった。
■アセトアミノフェン
アセトアミノフェンの化学的及び物理学的試験を含む各試験項目について測定を行い、5年間の安定性を評価した。その結果、アセトアミノフェンは非常に安定であった。"
IF_3_3,rdf:value,"確認試験法
■トラマドール塩酸塩
薄層クロマトグラフ法
融点（毛細管法）
赤外（IR）吸収スペクトル
塩化物（硝酸銀溶液によって白色沈殿を形成する）
■アセトアミノフェン
赤外吸収スペクトル測定法（臭化カリウム錠剤法）
定量法
■トラマドール塩酸塩
電位差滴定
■アセトアミノフェン
紫外可視吸光度測定法"
IF_4,,
IF_4_1,,
IF_4_1_1,rdf:value,色・剤形：淡黄色のフィルムコーティング錠
IF_4_1_2,rdf:value,
IF_4_1_3,rdf:value,"表示部位：錠剤／表示内容：J-C T/P"
IF_4_1_4,rdf:value,該当しない
IF_4_1_5,rdf:value,該当しない
IF_4_2,,
IF_4_2_1,rdf:value,
IF_4_2_2,rdf:value,該当しない
IF_4_2_3,rdf:value,該当しない
IF_4_3,rdf:value,該当しない
IF_4_4,rdf:value,該当しない
IF_4_5,rdf:value,トラマドール塩酸塩：O-脱メチルトラマドール
IF_4_6,rdf:value,
IF_4_7,rdf:value,該当しない
IF_4_7,rdfs:seeAlso,
IF_4_8,rdf:value,該当しない
IF_4_9,rdf:value,"方 法：パドル法
条 件：回転数50rpm
薄めた塩酸（50.0→6000）
分析法：液体クロマトグラフィー
判定基準：80％（30分間のQ値）"
IF_4_10,,
IF_4_10_1,rdf:value,該当しない
IF_4_10_2,rdf:value,"PTP：100錠（10錠×10）、500錠（10錠×50）
バラ：500錠（プラスチックボトル）"
IF_4_10_3,rdf:value,該当しない
IF_4_10_4,rdf:value,"PTP：ポリ塩化ビニルフィルム/アルミニウム箔
ボトル： ボトル：白色の高密度ポリエチレン
インダクションシール：ポリエチレン/アルミニウムラミネート
キャップ：ポリプロピレン"
IF_4_11,rdf:value,該当資料なし
IF_4_12,rdf:value,該当しない
IF_5,,
IF_5_1,rdf:value,"非オピオイド鎮痛剤で治療困難な下記疾患における鎮痛
〇非がん性慢性疼痛
〇抜歯後の疼痛"
IF_5_2,ifo:item,item1
item1,rdf:value,痛みは、患者の心理的・社会的要因（仕事や対人関係のストレス等）により増強されることがある。特に慢性疼痛においては、器質的な要因だけでなく、様々な要因が存在しており、それらが複合的に影響して痛みが遷延していることがよくみられる。慢性疼痛の治療に際しては、これらの因子や依存リスク等を包括的に評価し、心理的・社会的要因を伴う場合はこれらに対し適切な治療を行う必要があるため設定した。
item1,dct:references,
item2,rdf:value,
item3,rdf:value,
item4,rdf:value,
item5,rdf:value,
item6,rdf:value,
item7,rdf:value,
item8,rdf:value,
item9,rdf:value,
item10,rdf:value,
item11,rdf:value,
IF_5_3,,
IF_5_3_1,rdf:value,"〈非がん性慢性疼痛〉
通常、成人には、1回1錠、1日4回経口投与する。投与間隔は4時間以上空けること。
なお、症状に応じて適宜増減するが、1回2錠、1日8錠を超えて投与しないこと。また、空腹時の投与は避けることが望ましい。
〈抜歯後の疼痛〉
通常、成人には、1回2錠を経口投与する。
なお、追加投与する場合には、投与間隔を4時間以上空け、1回2錠、1日8錠を超えて投与しないこと。また、空腹時の投与は避けることが望ましい。"
IF_5_3_1,rdfs:seeAlso,
IF_5_3_1,rdf:value,「Ⅴ-5-（3）用量反応探索試験」の項参照
IF_5_3_1,rdfs:seeAlso,IF_5_5_3
IF_5_4,ifo:item,"item1, item2"
item1,rdf:value,"7.1 慢性疼痛患者においては、本剤の投与が長期にわたることが想定されるため設定した。本剤には依存リスクがあるため、本剤投与による十分なベネフィットが得られない場合には漫然と投与することなく、別の治療選択肢を検討すること。また、診察時には、毎回症状の変化等を確認し、投与継続の必要性を検討すること。"
item1,rdfs:seeAlso,
item2,rdf:value,"7.2 一般にオピオイド鎮痛剤の連用中に突然投与を中止すると、あくび、悪心等の退薬症候があらわれることがある。本剤の国内臨床試験では、退薬症候の報告はなかったが、本剤でも同様の症状が発現するおそれがあるため、十分に観察しながら徐々に減量すること。"
item3,rdf:value,
item4,rdf:value,
IF_5_5,,
IF_5_5_1,rdf:value,
IF_5_5_2,rdf:value,"＜国内＞
1）単回投与試験（JNS013-JPN-01）6）
健康成人男性8例に本剤1〜3錠を単回経口投与したところ、副作用は24例中（同一被験者8例×3期）12例24件に発現した。主な副作用は、浮動性めまい（10件）、悪心（6件）及び口内乾燥（6件）であった。副作用発現例数・件数は本剤の投与量に依存して増加した。
2）反復投与試験（JNS013-JPN-01）6）
日本人及び白人健康成人男性各8例を対象に本剤を空腹時に1回1錠、1日4回、5日間反復経口投与したところ、16例中9例56件（日本人4例7件、白人5例49件）の副作用が発現した。主な副作用（2例以上）は、日本人では鼻咽頭炎（3例3件）、白人では頭痛（3例24件）及び倦怠感（2例8件）であった。
また、日本人健康成人男性8例に本剤を空腹時に1回2錠、1日4回、3日間反復経口投与したところ、8例中3例16件の副作用が発現した。主な副作用（2例以上）は、傾眠（2例8件）であった。
本試験において、死亡及びその他の重篤な有害事象は認められなかった。すべての有害事象は軽度で一過性であり、回復が認められた。臨床検査値及びバイタルサインについて、基準値からの逸脱が散見されたものの、臨床的に問題となるものはなかった。本剤は本試験の投与量範囲内での忍容性は良好であった。"
IF_5_5_2,dct:references,6
IF_5_5_3,rdf:value,"＜国内＞
第Ⅱ相臨床試験（JNS013-JPN-02）7）
NSAIDsでは鎮痛効果不十分な国内の慢性疼痛患者95例を対象に、本剤の有効成分のひとつであるトラマドール塩酸塩経口剤を25mg/回×4回（100mg/日）から投与開始し、1週毎に25mg/回ずつ漸増して100mg/回×4回（400mg/日）又は十分な効果が得られた用量にて計35日まで投与を継続した。最終時の平均1日投与量は215.7mg/日であり、VAS値の改善が認められた。また、VAS値の変化率が30％以上であった被験者の割合は、70.5％（67/95例）であった。このことから、NSAIDsでは鎮痛効果が不十分な患者に対して、トラマドール塩酸塩経口剤は1日100〜400mgの投与により鎮痛効果を示し、日本人へのトラマドール塩酸塩経口投与時の反応性に外国人との明らかな違いはないものと推察された。
＜海外＞
無作為化並行用量反応試験
第Ⅱ相臨床試験（TRAMAP-ANAG-007）8）"
IF_5_5_3,dct:references,"7, 8"
IF_5_5_4,,
