subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,800155_1149117F1020_1_21
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,800155_1149117F1020_1_009_2F
800126_2590014F1021_1_015_1F,ifo:yjcode,1149117F1020
,,
1149117F1020,ifo:if_0_8,"トラムセット® 配合錠"
1149117F1020,ifo:if_0_9,フィルムコーティング錠
1149117F1020,ifo:if_0_11,1錠中日局トラマドール塩酸塩37.5mg及び日局アセトアミノフェン325mg含有
1149117F1020,ifo:if_0_13,2011-04-22
1149117F1020,ifo:if_0_14,2011-07-19
1149117F1020,ifo:if_0_15,2011-07-19
1149117F1020,ifo:if_10_8,22300AMX00552000
1149117F1020,ifo:yakka_code,1149117F1020
1149117F1020,ifo:yj_code,1149117F1020
1149117F1020,ifo:hot_code,120811502
1149117F1020,ifo:resept_code,622081101
