subject,predicate,object
1,rdf:type,bibo:Article
1,dct:creator,"満島隆, 他"
1,prism:publicationName,日薬理誌
1,prism:volume,68
1,prism:number,
1,prism:startingPage,437
1,prism:endingPage,445
1,dct:issued,1973
1,ifo:internal_reference_id,
2,rdf:type,bibo:Article
2,dct:references,2849950
2,ifo:internal_reference_id,
3,rdf:type,bibo:Article
3,dct:references,1596676
3,ifo:internal_reference_id,
4,rdf:type,bibo:Article
4,dct:references,9389855
4,ifo:internal_reference_id,
5,rdf:type,bibo:Article
5,dct:references,10377455
5,ifo:internal_reference_id,
6,rdf:type,bibo:Document
6,rdfs:label,社内資料：トラムセット®配合錠の国内第Ⅰ相臨床試験（JNS013-JPN-01
6,dct:dateAccepted,2011-04-22
6,ifo:internal_reference_id,
6,ifo:ctd_number,CTD2.7.6.3
7,rdf:type,bibo:Document
7,rdfs:label,社内資料：トラムセット®配合錠の国内第Ⅱ相臨床試験（JNS013-JPN-02
7,dct:dateAccepted,2011-04-22
7,ifo:internal_reference_id,
7,ifo:ctd_number,CTD2.7.6.16
8,rdf:type,bibo:Document
8,rdfs:label,社内資料：トラムセット®配合錠の海外第Ⅱ相臨床試験（TRAMAP-ANAG-007
8,dct:dateAccepted,2011-04-22
8,ifo:internal_reference_id,
8,ifo:ctd_number,CTD2.7.6.23
9,rdf:type,bibo:Article
9,dct:creator,"松下隆, 他"
9,prism:publicationName,臨整外
9,prism:volume,46
9,prism:number,9
9,prism:startingPage,825
9,prism:endingPage,835
9,dct:issued,2011
9,ifo:internal_reference_id,
10,rdf:type,bibo:Document
10,rdfs:label,社内資料：トラムセット®配合錠の国内第Ⅲ相試験（JNS013-JPN-04
10,dct:dateAccepted,2011-04-22
10,ifo:internal_reference_id,
10,ifo:ctd_number,CTD2.7.6.6
11,rdf:type,bibo:Article
11,dct:creator,"新谷悟, 他"
11,prism:publicationName,日口腔外会誌
11,prism:volume,58
11,prism:number,
11,prism:startingPage,110
11,prism:endingPage,122
11,dct:issued,2012
11,ifo:internal_reference_id,
12,rdf:type,bibo:Document
12,rdfs:label,社内資料：トラムセット®配合錠の国内第Ⅱ/Ⅲ相試験（JNS013-JPN-03
12,dct:dateAccepted,2011-04-22
12,ifo:internal_reference_id,
12,ifo:ctd_number,CTD2.7.6.19
13,rdf:type,bibo:Document
13,rdfs:label,社内資料：トラムセット®配合錠の海外第Ⅲ相臨床試験（CAPSS-105
13,dct:dateAccepted,2011-04-22
13,ifo:internal_reference_id,
13,ifo:ctd_number,CTD2.7.6.13
14,rdf:type,bibo:Document
14,rdfs:label,社内資料：トラムセット®配合錠の海外第Ⅲ相臨床試験（CAPSS-237
14,dct:dateAccepted,2011-04-22
14,ifo:internal_reference_id,
14,ifo:ctd_number,CTD2.7.6.7
15,rdf:type,bibo:Document
15,rdfs:label,社内資料：トラムセット®配合錠の国内第Ⅲ相臨床試験（JNS013-JPN-05
15,dct:dateAccepted,2011-04-22
15,ifo:internal_reference_id,
15,ifo:ctd_number,CTD2.7.6.17
16,rdf:type,bibo:Article
16,dct:creator,"井上靖雄, 他"
16,prism:publicationName,関節外科
16,prism:volume,31
16,prism:number,1
16,prism:startingPage,88
16,prism:endingPage,97
16,dct:issued,2012
16,ifo:internal_reference_id,
17,rdf:type,bibo:Article
17,dct:references,1309873
17,ifo:internal_reference_id,
18,rdf:type,bibo:Article
18,dct:references,8764759
18,ifo:internal_reference_id,
19,rdf:type,bibo:Article
19,dct:references,7524008
19,ifo:internal_reference_id,
20,rdf:type,bibo:Article
20,dct:references,8764329
20,ifo:internal_reference_id,
21,rdf:type,bibo:Article
21,dct:references,8606615
21,ifo:internal_reference_id,
22,rdf:type,bibo:Document
22,rdfs:label,社内資料：アジュバント関節炎ラットにおけるトラマドール塩酸塩及びアセトアミノフェン併用投与による鎮痛作用
22,dct:dateAccepted,2011-04-22
22,ifo:internal_reference_id,
22,ifo:ctd_number,CTD2.6.2.2.3.2
23,rdf:type,bibo:Document
23,rdfs:label,社内資料：トラムセット®配合錠の非臨床試験
23,dct:dateAccepted,2011-04-22
23,ifo:internal_reference_id,
23,ifo:ctd_number,CTD2.6.2.2
24,rdf:type,bibo:Article
24,dct:creator,"内田英二, 他"
24,prism:publicationName,臨床医薬
24,prism:volume,28
24,prism:number,5
24,prism:startingPage,401
24,prism:endingPage,412
24,dct:issued,2012
24,ifo:internal_reference_id,
25,rdf:type,bibo:Document
25,rdfs:label,社内資料：トラムセット®配合錠の海外第Ⅰ相臨床試験（TRAMAP-PHI-003
25,dct:dateAccepted,2011-04-22
25,ifo:internal_reference_id,
25,ifo:ctd_number,CTD2.7.6.2
26,rdf:type,bibo:Document
26,rdfs:label,社内資料：トラムセット®配合錠の臨床薬理試験
26,dct:dateAccepted,2011-04-22
26,ifo:internal_reference_id,
26,ifo:ctd_number,CTD2.7.2.1
27,rdf:type,bibo:Document
27,rdfs:label,27社内資料：トラムセット®配合錠の臨床薬理試験
27,dct:dateAccepted,2011-04-22
27,ifo:internal_reference_id,
27,ifo:ctd_number,CTD2.7.2.3
28,rdf:type,bibo:Document
28,rdfs:label,社内資料：トラムセット®配合錠の非臨床試験
28,dct:dateAccepted,2011-04-22
28,ifo:internal_reference_id,
28,ifo:ctd_number,CTD2.6.4.3
29,rdf:type,bibo:BookSection
29,dct:creator,"高折修二, 他監修,"
29,bibo:editor,
29,dct:publisher,廣川書店
29,prism:publicationName,グッドマン・ギルマン薬理書第10版
29,prism:startingPage,896
29,prism:endingPage,899
29,dct:issued,2003
29,ifo:internal_reference_id,
30,rdf:type,bibo:Document
30,rdfs:label,社内資料：トラムセット®配合錠の非臨床試験
30,dct:dateAccepted,2011-04-22
30,ifo:internal_reference_id,
30,ifo:ctd_number,CTD2.6.4.4
31,rdf:type,bibo:Article
31,dct:references,13951545
31,ifo:internal_reference_id,
32,rdf:type,bibo:Article
32,dct:references,16007420
32,ifo:internal_reference_id,
33,rdf:type,bibo:Article
33,dct:references,15491106
33,ifo:internal_reference_id,
34,rdf:type,bibo:Article
34,dct:references,2621359
34,ifo:internal_reference_id,
35,rdf:type,bibo:BookSection
35,dct:creator,"（財日本医薬情報センター, "
35,bibo:editor,
35,dct:publisher,丸善株式会社
35,prism:publicationName,医療用医薬品集2011
35,prism:startingPage,1752
35,prism:endingPage,1753
35,dct:issued,平成22年
35,ifo:internal_reference_id,
36,rdf:type,bibo:Article
36,dct:references,7262173
36,ifo:internal_reference_id,
37,rdf:type,bibo:Article
37,dct:references,16462075
37,ifo:internal_reference_id,
38,rdf:type,bibo:Document
38,rdfs:label,社内資料：トラマドールの蛋白結合率の検討
38,dct:dateAccepted,2011-04-22
38,ifo:internal_reference_id,
38,ifo:ctd_number,CTD2.7.2.2.1
39,rdf:type,bibo:Article
39,dct:references,4150300
39,ifo:internal_reference_id,
40,rdf:type,bibo:Article
40,dct:references,7832576
40,ifo:internal_reference_id,
41,rdf:type,bibo:Article
41,dct:references,11454734
41,ifo:internal_reference_id,
42,rdf:type,bibo:Document
42,rdfs:label,社内資料：トラマドールの代謝の検討
42,dct:dateAccepted,2011-04-22
42,ifo:internal_reference_id,
42,ifo:ctd_number,CTD2.7.2.2.1
43,rdf:type,bibo:Document
43,rdfs:label,社内資料：トラマドールの代謝酵素の検討
43,dct:dateAccepted,2011-04-22
43,ifo:internal_reference_id,
43,ifo:ctd_number,CTD2.7.2.2.1
44,rdf:type,bibo:Article
44,dct:references,10417506
44,ifo:internal_reference_id,
45,rdf:type,bibo:BookSection
45,dct:creator,
45,bibo:editor,
45,dct:publisher,"The McGraw-Hill Companies."
45,prism:publicationName,"Goodman & Gilman's the pharmacological basis of therapeutics. 11th ed., "
45,prism:startingPage,693
45,prism:endingPage,695
45,dct:issued,2006
45,ifo:internal_reference_id,
46,rdf:type,bibo:Article
46,dct:references,8387297
46,ifo:internal_reference_id,
47,rdf:type,bibo:Article
47,dct:references,2729995
47,ifo:internal_reference_id,
48,rdf:type,bibo:Article
48,dct:creator,"Raffa, R.B., et al."
48,prism:publicationName,"Rev. Contemp. Pharmacother."
48,prism:volume,6
48,prism:number,
48,prism:startingPage,485
48,prism:endingPage,497
48,dct:issued,1995
48,ifo:internal_reference_id,
49,rdf:type,bibo:Article
49,dct:creator,"平田純生, 他"
49,prism:publicationName,透析会誌
49,prism:volume,37
49,prism:number,10
49,prism:startingPage,1893
49,prism:endingPage,1900
49,dct:issued,2004
49,ifo:internal_reference_id,
50,rdf:type,bibo:Article
50,dct:references,15225168
50,ifo:internal_reference_id,
51,rdf:type,bibo:Article
51,dct:references,2744070
51,ifo:internal_reference_id,
52,rdf:type,bibo:Article
52,dct:references,17825689
52,ifo:internal_reference_id,
53,rdf:type,bibo:Article
53,dct:references,11323369
53,ifo:internal_reference_id,
54,rdf:type,bibo:Article
54,dct:references,12032025
54,ifo:internal_reference_id,
55,rdf:type,bibo:Article
55,dct:references,6861437
55,ifo:internal_reference_id,
56,rdf:type,bibo:Article
56,dct:references,3111513
56,ifo:internal_reference_id,
57,rdf:type,bibo:Article
57,dct:creator,黒山政一
57,prism:publicationName,病院薬学
57,prism:volume,23
57,prism:number,5
57,prism:startingPage,424
57,prism:endingPage,430
57,dct:issued,1997
57,ifo:internal_reference_id,
58,rdf:type,bibo:Article
58,dct:creator,藤田浩志
58,prism:publicationName,救急医学
58,prism:volume,16
58,prism:number,
58,prism:startingPage,363
58,prism:endingPage,365
58,dct:issued,1992
58,ifo:internal_reference_id,
59,rdf:type,bibo:Document
59,rdfs:label,社内資料：トラムセット®配合錠の非臨床試験
59,dct:dateAccepted,2011-04-22
59,ifo:internal_reference_id,
59,ifo:ctd_number,CTD2.6.2.4
60,rdf:type,bibo:Document
60,rdfs:label,社内資料：トラムセット®配合錠の非臨床試験
60,dct:dateAccepted,2011-04-22
60,ifo:internal_reference_id,
60,ifo:ctd_number,CTD2.6.6.2
61,rdf:type,bibo:Document
61,rdfs:label,社内資料：トラムセット®配合錠の非臨床試験
61,dct:dateAccepted,2011-04-22
61,ifo:internal_reference_id,
61,ifo:ctd_number,CTD2.6.6.3
62,rdf:type,bibo:Document
62,rdfs:label,社内資料：トラムセット®配合錠の非臨床試験
62,dct:dateAccepted,2011-04-22
62,ifo:internal_reference_id,
62,ifo:ctd_number,CTD2.6.6.4
63,rdf:type,bibo:Article
63,dct:references,2152767
63,ifo:internal_reference_id,
64,rdf:type,bibo:Article
64,dct:references,8600357
64,ifo:internal_reference_id,
65,rdf:type,bibo:Document
65,rdfs:label,社内資料：トラムセット®配合錠の非臨床試験
65,dct:dateAccepted,2011-04-22
65,ifo:internal_reference_id,
65,ifo:ctd_number,CTD2.6.6.5
66,rdf:type,bibo:Document
66,rdfs:label,社内資料：トラムセット®配合錠の非臨床試験
66,dct:dateAccepted,2011-04-22
66,ifo:internal_reference_id,
66,ifo:ctd_number,CTD2.6.6.6
67,rdf:type,bibo:Article
67,dct:references,12161254
67,ifo:internal_reference_id,
68,rdf:type,bibo:Article
68,dct:references,11501045
68,ifo:internal_reference_id,
69,rdf:type,bibo:Article
69,dct:references,2901483
69,ifo:internal_reference_id,
70,rdf:type,bibo:Article
70,dct:references,1335050
70,ifo:internal_reference_id,
71,rdf:type,bibo:Article
71,dct:references,415747
71,ifo:internal_reference_id,
72,rdf:type,bibo:Article
72,dct:references,9802828
72,ifo:internal_reference_id,
73,rdf:type,bibo:Article
73,dct:references,580209
73,ifo:internal_reference_id,
74,rdf:type,bibo:Article
74,dct:references,2833735
74,ifo:internal_reference_id,
