subject,predicate,object
IF_0_3,dct:modified,2020-01
IF_0_3,pav:version,9
IF_0_4,rdf:value,872259
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,長時間作用性吸入気管支拡張配合剤
IF_0_8,rdf:value,ウルティブロ吸入用カプセル
IF_0_9,,
IF_0_10,rdf:value,処方箋医薬品（注意－医師等の処方箋により使用すること）
IF_0_11,,
IF_0_12,rdf:value,グリコピロニウム臭化物／インダカテロールマレイン酸塩
IF_0_12,rdf:value,"Glycopyrronium Bromide／Indacaterol Maleate"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,"製造販売：ノバルティスファーマ株式会社
販 売：Meiji Seika ファルマ株式会社"
IF_0_17,rdf:value,
IF_0_18,rdf:value,"ノバルティスファーマ株式会社 ノバルティスダイレクト
TEL：0120-003-293
受付時間：月～金 9:00～17:30（祝祭日及び当社休日を除く）
医療関係者向けホームページ https://drs-net.novartis.co.jp/hcp/
Meiji Seika ファルマ株式会社 くすり相談室
TEL：(0120)093-396、(03)3273-3539
受付時間： 9 時～17 時（土・日・祝日及び当社休業日を除く)
医療関係者向けホームページ https://www.meiji-seika-pharma.co.jp/medical/"
IF_0_19,rdf:value,2020-01
IF_1,,
