subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,400093_2149046F1023_1_13
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,300242_2259805G1027_1_ULT_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,2259805G1027
,,
2259805G1027,ifo:if_0_8,ウルティブロ吸入用カプセル14カプセルブリーズヘラー
2259805G1027,ifo:if_0_9,吸入粉末剤（硬カプセル剤）
2259805G1027,ifo:if_0_11,"1 カプセル中グリコピロニウム臭化物63μg（グリコピロニウムとして50μ
g）及びインダカテロールマレイン酸塩143μg（インダカテロールとして
110μg）を含有する。"
2259805G1027,ifo:if_0_13,2013-09-20
2259805G1027,ifo:if_0_14,2013-11-19
2259805G1027,ifo:if_0_15,2013-11-20
2259805G1027,ifo:if_10_8,
2259805G1027,ifo:yakka_code,2259805G1027
2259805G1027,ifo:yj_code,2259805G1027
2259805G1027,ifo:hot_code,1228779020101
2259805G1027,ifo:resept_code,622287701
,,
2259805G1027,ifo:if_0_8,28カプセルブリーズヘラー
2259805G1027,ifo:if_0_9,吸入粉末剤（硬カプセル剤）
2259805G1027,ifo:if_0_11,"1 カプセル中グリコピロニウム臭化物63μg（グリコピロニウムとして50μ
g）及びインダカテロールマレイン酸塩143μg（インダカテロールとして
110μg）を含有する。"
2259805G1027,ifo:if_0_13,2013-09-20
2259805G1027,ifo:if_0_14,2013-11-19
2259805G1027,ifo:if_0_15,2013-11-20
2259805G1027,ifo:if_10_8,
2259805G1027,ifo:yakka_code,2259805G1027
2259805G1027,ifo:yj_code,2259805G1027
2259805G1027,ifo:hot_code,1228779020102
2259805G1027,ifo:resept_code,622287701
,,
2259805G1027,ifo:if_0_8,28カプセル
2259805G1027,ifo:if_0_9,吸入粉末剤（硬カプセル剤）
2259805G1027,ifo:if_0_11,"1 カプセル中グリコピロニウム臭化物63μg（グリコピロニウムとして50μ
g）及びインダカテロールマレイン酸塩143μg（インダカテロールとして
110μg）を含有する。"
2259805G1027,ifo:if_0_13,2013-09-20
2259805G1027,ifo:if_0_14,2013-11-19
2259805G1027,ifo:if_0_15,2013-11-20
2259805G1027,ifo:if_10_8,
2259805G1027,ifo:yakka_code,2259805G1027
2259805G1027,ifo:yj_code,2259805G1027
2259805G1027,ifo:hot_code,1228779020201
2259805G1027,ifo:resept_code,622287701
