subject,predicate,object
1,rdf:type,bibo:Document
1,rdfs:label,"社内資料：日本人及び白人健康成人を対象とした単回投与試験(A1101 試験)"
1,dct:dateAccepted,2013-09-20
1,ifo:internal_reference_id,20134479
1,ifo:ctd_number,"CTD2.7.2 2.1.1.1"
2,rdf:type,bibo:Document
2,rdfs:label,"社内資料：慢性閉塞性肺疾患患者（日本人を含む）を対象とした国際共同第Ⅲ相臨床試験（ CQVA149A2303)"
2,dct:dateAccepted,2013-09-20
2,ifo:internal_reference_id,20134482
2,ifo:ctd_number,CTD2.7.6-4.1.1
3,rdf:type,bibo:Article
3,dct:references,23722616
3,ifo:internal_reference_id,20134476
4,rdf:type,bibo:Document
4,rdfs:label,社内資料：慢性閉塞性肺疾患患者を対象とした外国第相臨床試験(CQVA149A2304)
4,dct:dateAccepted,2013-09-20
4,ifo:internal_reference_id,20134485
4,ifo:ctd_number,CTD2.7.6-4.1.2
5,rdf:type,bibo:Article
5,dct:references,"PMID: 24429126"
5,ifo:internal_reference_id,20134475
6,rdf:type,bibo:Document
6,rdfs:label,"社内資料：日本人慢性閉塞性肺疾患患者を対象とした長期投与試験（ CQVA149A1301)"
6,dct:dateAccepted,2013-09-20
6,ifo:internal_reference_id,20134484
6,ifo:ctd_number,CTD2.7.6-4.1.3
7,rdf:type,bibo:Document
7,rdfs:label,"社内資料：10 か国で実施した第 相国際共同試験（ A2307 試験）"
7,dct:dateAccepted,
7,ifo:internal_reference_id,20134487
7,ifo:ctd_number,
8,rdf:type,bibo:Article
8,dct:references,23867808
8,ifo:internal_reference_id,20134477
9,rdf:type,bibo:Document
9,rdfs:label,社内資料：モルモット摘出気管におけるインダカテロール及びグリコピロニウムの相加作用
9,dct:dateAccepted,2013-09-20
9,ifo:internal_reference_id,20134483
9,ifo:ctd_number,CTD2.6.2-2.5
10,rdf:type,bibo:Document
10,rdfs:label,"社内資料：in vitroにおけるムスカリン受容体に対する親和性試験 （シーブリ"
10,dct:dateAccepted,2012-09-28
10,ifo:internal_reference_id,20124346
10,ifo:ctd_number,CTD2.6.2-2.1
11,rdf:type,bibo:Article
11,dct:references,16565730
11,ifo:internal_reference_id,20124439
12,rdf:type,bibo:Document
12,rdfs:label,"社内資料：ラットにおけるメサコリン誘発in vivo 気管支収縮モデルを用いた気管支収縮抑制効果の検討 （シーブリ"
12,dct:dateAccepted,2012-09-28
12,ifo:internal_reference_id,20124347
12,ifo:ctd_number,CTD2.6.2-2.3.1.1
13,rdf:type,bibo:Document
13,rdfs:label,"社内資料：アカゲザルにおけるメサコリン誘発in vivo 気道収縮モデルを用いた気道収縮抑制効果の検討 （シーブリ"
13,dct:dateAccepted,2012-09-28
13,ifo:internal_reference_id,20124348
13,ifo:ctd_number,CTD2.6.2-2.3.1.3
14,rdf:type,bibo:Article
14,dct:references,22854200
14,ifo:internal_reference_id,20124443
15,rdf:type,bibo:Document
15,rdfs:label,"社内資料：アドレナリンβ受容体に対するインダカテロールのin vitro における選択性及び機能活性"
15,dct:dateAccepted,2011-07-01
15,ifo:internal_reference_id,20113374
15,ifo:ctd_number,CTD2.4-3.1.1
16,rdf:type,bibo:Document
16,rdfs:label,"社内資料：覚醒下モルモットにおけるインダカテロールの作用持続の検討 （オンブレス"
16,dct:dateAccepted,2011-07-01
16,ifo:internal_reference_id,20113370
16,ifo:ctd_number,"CTD2.4 3.1.4"
17,rdf:type,bibo:Document
17,rdfs:label,"社内資料：アカゲザルを用いたβ刺激剤のメサコリン誘発気道収縮に対する抑制作用 （オンブレス"
17,dct:dateAccepted,2011-07-01
17,ifo:internal_reference_id,20113371
17,ifo:ctd_number,CTD2.4-3.1.4
18,rdf:type,bibo:Document
18,rdfs:label,"社内資料：慢性閉塞性肺疾患患者（日本人を含む）を対象とした国際共同第 相臨床試験 （シーブリ"
18,dct:dateAccepted,2012-09-28
18,ifo:internal_reference_id,20124343
18,ifo:ctd_number,CTD2.7.6-4.1.2
19,rdf:type,bibo:Article
19,dct:creator,"D'Urzo, A. et al."
19,prism:publicationName,"Respir. Res."
19,prism:volume,12
19,prism:number,
19,prism:startingPage,156
19,prism:endingPage,
19,dct:issued,2011
19,ifo:internal_reference_id,20124561
