subject,predicate,object
IF_0_3,dct:modified,2020-06
IF_0_3,pav:version,6
IF_0_4,rdf:value,87219
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,プロスタグランジンI2誘導体製剤
IF_0_8,rdf:value,ベンテイビス吸入液10μg
IF_0_9,,
IF_0_10,rdf:value,"劇薬、処方箋医薬品注）
注）注意―医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,イロプロスト（JAN）
IF_0_12,rdf:value,Iloprost（JAN）、iloprost（INN）
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,製造販売元：バイエル薬品株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"バイエル薬品株式会社・コンタクトセンター
TEL：0120-106-398
受付時間：9：00～17：30（土・日・祝日・弊社休日を除く）
医療関係者向けホームページ
https://pharma-navi.bayer.jp/"
IF_0_19,rdf:value,2020-03
IF_1,,
