subject,predicate,object
1,rdf:type,bibo:Article
1,rdfs:label,"承認時評価資料：バイエル薬品社内資料［（試験 15503）肺動脈性肺高血圧症患者における国内第Ⅲ相試験（IBUKI試験）］"
1,dct:dateAccepted,2015-09-28
1,ifo:internal_reference_id,B104369
1,ifo:ctd_number,CTD2.7.6.20
2,rdf:type,bibo:Article
2,dct:references,27001191
2,ifo:internal_reference_id,B107853
3,rdf:type,bibo:Article
3,rdfs:label,"承認時評価資料：バイエル薬品社内資料［（試験 ME97218：AIR 試験）原発性肺高血圧症または二次性肺高血圧症患者における国外第Ⅲ相試験（AIR試験）］"
3,dct:dateAccepted,2015-09-28
3,ifo:internal_reference_id,B104371
3,ifo:ctd_number,CTD2.7.6.17
4,rdf:type,bibo:Article
4,dct:references,12151469
4,ifo:internal_reference_id,B104372
5,rdf:type,bibo:Article
5,rdfs:label,"承認時評価資料：バイエル薬品社内資料［（試験 15266）日本人または白人健康被験者における第Ⅰ相試験］"
5,dct:dateAccepted,2015-09-28
5,ifo:internal_reference_id,B104373
5,ifo:ctd_number,CTD2.7.6.3
6,rdf:type,bibo:Article
6,rdfs:label,"承認時評価資料：バイエル薬品社内資料［（試験 ME98051）外国人肺高血圧症患者におけるネブライザ比較試験］"
6,dct:dateAccepted,2015-09-28
6,ifo:internal_reference_id,B104375
6,ifo:ctd_number,CTD2.7.6.1
7,rdf:type,bibo:Article
7,rdfs:label,"承認時参考資料：バイエル薬品社内資料［（試験 87015）外国人腎機能障害患者における単回静脈内投与試験］"
7,dct:dateAccepted,2015-09-28
7,ifo:internal_reference_id,B104406
7,ifo:ctd_number,CTD2.7.6.7
8,rdf:type,bibo:Article
8,rdfs:label,"承認時参考資料：バイエル薬品社内資料［（試験 83250）外国人健康被験者における第Ⅰ相試験］"
8,dct:dateAccepted,2015-09-28
8,ifo:internal_reference_id,B104405
8,ifo:ctd_number,"CTD2.7.6.4, 2.7.6.13"
9,rdf:type,bibo:Article
