subject,predicate,object
https://www.info.pmda.go.jp/go/interview/1/530263_1900400A1025_1_001_1F,ifo:if_id,530263_1900400A1025_1_001_1F
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/530263_1900400A1025_1_01,ifo:pi_id,530263_1900400A1025_1_01
530263_1900400A1025_1_001_1F,ifo:yjcode,1900400A1025
,,
1900400A1025,ifo:if_0_8,ビルテプソ点滴静注250mg
1900400A1025,ifo:if_0_9,水性注射液
1900400A1025,ifo:if_0_11,1 バイアル中ビルトラルセン250 mg 含有
1900400A1025,ifo:if_0_13,2020-03-25
1900400A1025,ifo:if_0_14,2020-05-20
1900400A1025,ifo:if_0_15,2020-05-20
1900400A1025,ifo:if_10_8,30200AMX00428000
1900400A1025,ifo:yakka_code,1900400A1025
1900400A1025,ifo:yj_code,1900400A1025
1900400A1025,ifo:hot_code,1280630010101
1900400A1025,ifo:resept_code,622806301
