subject,predicate,object
1,rdf:type,bibo:Document
1,rdfs:label,社内報告書
1,dct:dateAccepted,2011-03-25
1,ifo:ctd_number,CTD2.7.2.4
2,rdf:type,bibo:Document
2,rdfs:label,社内報告書
2,dct:dateAccepted,2011-03-25
2,ifo:ctd_number,CTD2.7.6.2
3,rdf:type,bibo:Document
3,rdfs:label,社内報告書
3,dct:dateAccepted,2011-03-25
3,ifo:ctd_number,CTD2.7.6.1
4,rdf:type,bibo:Document
4,rdfs:label,社内報告書
4,dct:dateAccepted,2011-03-25
4,ifo:ctd_number,CTD2.6.2.2.1
5,rdf:type,bibo:Document
5,rdfs:label,社内報告書
5,dct:dateAccepted,2011-03-25
5,ifo:ctd_number,CTD2.6.2.2.2
6,rdf:type,bibo:Document
6,rdfs:label,社内報告書
6,dct:dateAccepted,2011-03-25
6,ifo:ctd_number,CTD2.6.2.2.3
7,rdf:type,bibo:Document
7,rdfs:label,社内報告書
7,dct:dateAccepted,2011-03-25
7,ifo:ctd_number,CTD2.6.4.4.3
8,rdf:type,bibo:Document
8,rdfs:label,社内報告書
8,dct:dateAccepted,2011-03-25
8,ifo:ctd_number,CTD2.7.2.2.1.1
9,rdf:type,bibo:Document
9,rdfs:label,社内報告書
9,dct:dateAccepted,2011-03-25
9,ifo:ctd_number,CTD2.7.2.2.1.2
10,rdf:type,bibo:Document
10,rdfs:label,社内報告書
10,dct:dateAccepted,2011-03-25
10,ifo:ctd_number,"CTD2.7.2.2.1.3(1),2.7.2.2.1.3(2),2.7.2.2.1.3(3)"
11,rdf:type,bibo:Document
11,rdfs:label,社内報告書
11,dct:dateAccepted,2011-03-25
11,ifo:ctd_number,"CTD2.7.2.2.1.3(4),2.7.2.2.1.3(5),2.7.2.2.1.3(6)"
12,rdf:type,bibo:Document
12,rdfs:label,社内報告書
12,dct:dateAccepted,2011-03-25
12,ifo:ctd_number,CTD2.6.6.3
13,rdf:type,bibo:Document
13,rdfs:label,社内報告書
13,dct:dateAccepted,2011-03-25
13,ifo:ctd_number,CTD2.4.4.8
14,rdf:type,bibo:Document
14,rdfs:label,社内報告書
14,dct:dateAccepted,2011-03-25
14,ifo:ctd_number,CTD2.6.2.4
15,rdf:type,bibo:Document
15,rdfs:label,社内報告書
15,dct:dateAccepted,2011-03-25
15,ifo:ctd_number,CTD2.6.2.3
16,rdf:type,bibo:Document
16,rdfs:label,社内報告書
16,dct:dateAccepted,2011-03-25
16,ifo:ctd_number,CTD2.6.6.2
17,rdf:type,bibo:Document
17,rdfs:label,社内報告書
17,dct:dateAccepted,2011-03-25
17,ifo:ctd_number,CTD2.6.6.4
18,rdf:type,bibo:Document
18,rdfs:label,社内報告書
18,dct:dateAccepted,2011-03-25
18,ifo:ctd_number,CTD2.6.6.6
19,rdf:type,bibo:Document
19,rdfs:label,社内報告書
19,dct:dateAccepted,2011-03-25
19,ifo:ctd_number,CTD2.6.6.7
20,rdf:type,bibo:Document
20,rdfs:label,社内報告書
20,dct:dateAccepted,2011-03-25
20,ifo:ctd_number,CTD2.6.6.8.2
