subject,predicate,object
IF_0_3,dct:modified,2020-01
IF_0_3,pav:version,6
IF_0_4,rdf:value,874291
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,高悪性腫瘍剤／VEGF阻害剤
IF_0_8,rdf:value,"アフリベルセプト ベータ(遺伝子組換え)製剤"
IF_0_9,,
IF_0_10,rdf:value,"生物由来製品、劇薬
処方箋医薬品：注意－医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,"アフリベルセプト ベータ(遺伝子組換え)(JAN)"
IF_0_12,rdf:value,"Aflibercept Beta(Genetical Recombination)(JAN)"
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,サノフィ株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"サノフィ株式会社
医薬品関連：くすり相談室(平日9:00～17:00)
ＴＥＬ：０１２０－１０９－９０５ ＦＡＸ：(０３)６３０１－３０１０
医療関係者向け製品情報サイト：サノフィ e-MR
http://e-mr.sanofi.co.jp/"
IF_0_19,rdf:value,2020-01
IF_1,,
