subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,780069_4291436A1023_1_06
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,780069_4291436A1023_1_005_1F
800126_2590014F1021_1_015_1F,ifo:yjcode,"4291436A1023, 4291436A2020"
,,
4291436A1023,ifo:if_0_8,ザルトラップ点滴静注100mg
4291436A1023,ifo:if_0_9,注射剤
4291436A1023,ifo:if_0_11,"100mg：1バイアル（4mL）中に
アフリベルセプト ベータ（遺伝子組換え）を100mg含有"
4291436A1023,ifo:if_0_13,2017-03-30
4291436A1023,ifo:if_0_14,2017-05-24
4291436A1023,ifo:if_0_15,2017-05-29
4291436A1023,ifo:if_10_8,22900AMX00524000
4291436A1023,ifo:yakka_code,4291436A1023
4291436A1023,ifo:yj_code,4291436A1023
4291436A1023,ifo:hot_code,125518801
4291436A1023,ifo:resept_code,622551801
,,
4291436A2020,ifo:if_0_8,ザルトラップ点滴静注200mg
4291436A2020,ifo:if_0_9,注射剤
4291436A2020,ifo:if_0_11,"1バイアル（8mL）中に
アフリベルセプト ベータ（遺伝子組換え）を200mg含有"
4291436A2020,ifo:if_0_13,2017-03-30
4291436A2020,ifo:if_0_14,2017-05-24
4291436A2020,ifo:if_0_15,2017-05-29
4291436A2020,ifo:if_10_8,22900AMX00525000
4291436A2020,ifo:yakka_code,4291436A2020
4291436A2020,ifo:yj_code,4291436A2020
4291436A2020,ifo:hot_code,125519501
4291436A2020,ifo:resept_code,622551901
,,
1179046F3020,ifo:if_0_8,
1179046F3020,ifo:if_0_9,
1179046F3020,ifo:if_0_11,
1179046F3020,ifo:if_0_13,
1179046F3020,ifo:if_0_14,
1179046F3020,ifo:if_0_15,
1179046F3020,ifo:if_10_8,
1179046F3020,ifo:yakka_code,
1179046F3020,ifo:yj_code,
1179046F3020,ifo:hot_code,
1179046F3020,ifo:resept_code,
