subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,23179335
1,ifo:internal_reference_id,ZAL0001
2,rdf:type,bibo:Document
2,rdfs:label,国内第I相臨床試験（TCD10794試験）
2,dct:dateAccepted,2017-03-30
2,ifo:internal_reference_id,ZAL-07
2,ifo:ctd_number,"CTD2.7.6.2, 2.7.4.3"
3,rdf:type,bibo:Document
3,rdfs:label,国内第I相臨床試験（TED10089試験）
3,dct:dateAccepted,2017-03-30
3,ifo:internal_reference_id,ZAL-08
3,ifo:ctd_number,"CTD2.7.6.2, 2.7.4.2"
4,rdf:type,bibo:Document
4,rdfs:label,海外QT/QTc評価試験（TES10897試験）
4,dct:dateAccepted,2017-03-30
4,ifo:internal_reference_id,ZAL-09
4,ifo:ctd_number,"CTD2.7.6.2, 2.7.4.4, 2.7.2.3"
5,rdf:type,bibo:Article
5,dct:references,30657223
5,ifo:internal_reference_id,ZAL0087
6,rdf:type,bibo:Document
6,rdfs:label,国内第Ⅱ相臨床試験
6,dct:dateAccepted,2017-03-30
6,ifo:internal_reference_id,ZAL-04
6,ifo:ctd_number,CTD2.7.6.2
7,rdf:type,bibo:Article
7,dct:references,22949147
7,ifo:internal_reference_id,ZAL0002
8,rdf:type,bibo:Document
8,rdfs:label,海外第Ⅲ相臨床試験（EFC10262/VELOUR試験）
8,dct:dateAccepted,2017-03-30
8,ifo:internal_reference_id,ZAL-06
8,ifo:ctd_number,CTD2.7.6.2
9,rdf:type,bibo:Article
9,dct:references,24140268
9,ifo:internal_reference_id,ZAL0003
10,rdf:type,bibo:Document
10,rdfs:label,非臨床薬効薬理試験（作用機序）
10,dct:dateAccepted,2017-03-30
10,ifo:internal_reference_id,ZAL-05
10,ifo:ctd_number,CTD2.6.2.1
11,rdf:type,bibo:Document
11,rdfs:label,VEGFファミリーのリガンドに対する結合性
11,dct:dateAccepted,2017-03-30
11,ifo:internal_reference_id,ZAL-10
11,ifo:ctd_number,CTD2.6.2.2
12,rdf:type,bibo:Document
12,rdfs:label,VEGFによるVEGFR-2のリン酸化に対する阻害作用
12,dct:dateAccepted,2017-03-30
12,ifo:internal_reference_id,ZAL-11
12,ifo:ctd_number,CTD2.6.2.2
13,rdf:type,bibo:Document
13,rdfs:label,VEGFによるカルシウム動員に対する阻害作用
13,dct:dateAccepted,2017-03-30
13,ifo:internal_reference_id,ZAL-12
13,ifo:ctd_number,CTD2.6.2.2
14,rdf:type,bibo:Document
14,rdfs:label,VEGFによる血管内皮細胞の増殖に対する阻害作用
14,dct:dateAccepted,2017-03-30
14,ifo:internal_reference_id,ZAL-13
14,ifo:ctd_number,CTD2.6.2.2
15,rdf:type,bibo:Document
15,rdfs:label,ラット大動脈輪モデルにおける血管新生に対する阻害作用
15,dct:dateAccepted,2017-03-30
15,ifo:internal_reference_id,ZAL-14
15,ifo:ctd_number,CTD2.6.2.2
16,rdf:type,bibo:Document
16,rdfs:label,補体依存性細胞傷害（CDC）作用及び抗体依存性細胞傷害（ADCC）作用
16,dct:dateAccepted,2017-03-30
