subject,predicate,object
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,530471_1179044F4028_1_32
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F.pdf,ifo:if_id,530471_1179044F4028_1_18F_4F
800126_2590014F1021_1_015_1F,ifo:yjcode,"1179044F1029, 1179044F2025, 1179044F3021, 1179044C1022, 1179044F6020, 1179044F4028, 1179044F5024"
,,
1179044F1029,ifo:if_0_8,"ジプレキサ錠2.5 mg 1000 錠"
1179044F1029,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F1029,ifo:if_0_11,"1 錠中にオランザピンとして2.5 mg 含有"
1179044F1029,ifo:if_0_13,2000-12-22
1179044F1029,ifo:if_0_14,2001-06-01
1179044F1029,ifo:if_0_15,2001-06-04
1179044F1029,ifo:if_10_8,21200AMY00249
1179044F1029,ifo:yakka_code,1179044F1029
1179044F1029,ifo:yj_code,1179044F1029
1179044F1029,ifo:hot_code,1139273010202
1179044F1029,ifo:resept_code,610451001
,,
1179044F1029,ifo:if_0_8,"ジプレキサ錠2.5 mg 100錠"
1179044F1029,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F1029,ifo:if_0_11,"1 錠中にオランザピンとして2.5 mg 含有"
1179044F1029,ifo:if_0_13,2000-12-22
1179044F1029,ifo:if_0_14,2001-06-01
1179044F1029,ifo:if_0_15,2001-06-04
1179044F1029,ifo:if_10_8,21200AMY00249
1179044F1029,ifo:yakka_code,1179044F1029
1179044F1029,ifo:yj_code,1179044F1029
1179044F1029,ifo:hot_code,1139273010201
1179044F1029,ifo:resept_code,610451001
,,
1179044F1029,ifo:if_0_8,"ジプレキサ錠2.5 mg 100 錠 PTP （10 錠×10）"
1179044F1029,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F1029,ifo:if_0_11,"1 錠中にオランザピンとして2.5 mg 含有"
1179044F1029,ifo:if_0_13,2000-12-22
1179044F1029,ifo:if_0_14,2001-06-01
1179044F1029,ifo:if_0_15,2001-06-04
1179044F1029,ifo:if_10_8,21200AMY00249
1179044F1029,ifo:yakka_code,1179044F1029
1179044F1029,ifo:yj_code,1179044F1029
1179044F1029,ifo:hot_code,1139273010101
1179044F1029,ifo:resept_code,610451001
,,
1179044F2025,ifo:if_0_8,"ジプレキサ錠5 mg 1000 錠"
1179044F2025,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F2025,ifo:if_0_11,"1 錠中にオランザピンとして5 mg 含有"
1179044F2025,ifo:if_0_13,2000-12-22
1179044F2025,ifo:if_0_14,2001-06-01
1179044F2025,ifo:if_0_15,2001-06-04
1179044F2025,ifo:if_10_8,21200AMY00250
1179044F2025,ifo:yakka_code,1179044F2025
1179044F2025,ifo:yj_code,1179044F2025
1179044F2025,ifo:hot_code,1139280010202
1179044F2025,ifo:resept_code,610451002
,,
1179044F2025,ifo:if_0_8,"ジプレキサ錠5 mg 100錠"
1179044F2025,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F2025,ifo:if_0_11,"1 錠中にオランザピンとして5 mg 含有"
1179044F2025,ifo:if_0_13,2000-12-22
1179044F2025,ifo:if_0_14,2001-06-01
1179044F2025,ifo:if_0_15,2001-06-04
1179044F2025,ifo:if_10_8,21200AMY00250
1179044F2025,ifo:yakka_code,1179044F2025
1179044F2025,ifo:yj_code,1179044F2025
1179044F2025,ifo:hot_code,1139280010201
1179044F2025,ifo:resept_code,610451002
,,
1179044F2025,ifo:if_0_8,"ジプレキサ錠5 mg 100 錠 PTP （10 錠×10）"
1179044F2025,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F2025,ifo:if_0_11,"1 錠中にオランザピンとして5 mg 含有"
1179044F2025,ifo:if_0_13,2000-12-22
1179044F2025,ifo:if_0_14,2001-06-01
1179044F2025,ifo:if_0_15,2001-06-04
1179044F2025,ifo:if_10_8,21200AMY00250
1179044F2025,ifo:yakka_code,1179044F2025
1179044F2025,ifo:yj_code,1179044F2025
1179044F2025,ifo:hot_code,1139280010101
1179044F2025,ifo:resept_code,610451002
,,
,,
1179044F3021,ifo:if_0_8,"ジプレキサ錠10mg 1000 錠"
1179044F3021,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F3021,ifo:if_0_11,"1 錠中にオランザピンとして10 mg 含有"
1179044F3021,ifo:if_0_13,2000-12-22
1179044F3021,ifo:if_0_14,2001-06-01
1179044F3021,ifo:if_0_15,2001-06-04
1179044F3021,ifo:if_10_8,21200AMY00251
1179044F3021,ifo:yakka_code,1179044F3021
1179044F3021,ifo:yj_code,1179044F3021
1179044F3021,ifo:hot_code,1139297010202
1179044F3021,ifo:resept_code,610451003
,,
1179044F3021,ifo:if_0_8,"ジプレキサ錠10mg 100錠"
1179044F3021,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F3021,ifo:if_0_11,"1 錠中にオランザピンとして10 mg 含有"
1179044F3021,ifo:if_0_13,2000-12-22
1179044F3021,ifo:if_0_14,2001-06-01
1179044F3021,ifo:if_0_15,2001-06-04
1179044F3021,ifo:if_10_8,21200AMY00251
1179044F3021,ifo:yakka_code,1179044F3021
1179044F3021,ifo:yj_code,1179044F3021
1179044F3021,ifo:hot_code,1139297010201
1179044F3021,ifo:resept_code,610451003
,,
1179044F3021,ifo:if_0_8,"ジプレキサ錠10mg 100 錠 PTP （10 錠×10）"
1179044F3021,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F3021,ifo:if_0_11,"1 錠中にオランザピンとして10 mg 含有"
1179044F3021,ifo:if_0_13,2000-12-22
1179044F3021,ifo:if_0_14,2001-06-01
1179044F3021,ifo:if_0_15,2001-06-04
1179044F3021,ifo:if_10_8,21200AMY00251
1179044F3021,ifo:yakka_code,1179044F3021
1179044F3021,ifo:yj_code,1179044F3021
1179044F3021,ifo:hot_code,1139297010101
1179044F3021,ifo:resept_code,610451003
,,
1179044C1022,ifo:if_0_8,"ジプレキサ細粒1％ 100g"
1179044C1022,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044C1022,ifo:if_0_11,"1g 中にオランザピンとして10 mg 含有"
1179044C1022,ifo:if_0_13,2001-11-29
1179044C1022,ifo:if_0_14,2002-06-14
1179044C1022,ifo:if_0_15,2004-05-17
1179044C1022,ifo:if_10_8,21300AMY00500
1179044C1022,ifo:yakka_code,1179044C1022
1179044C1022,ifo:yj_code,1179044C1022
1179044C1022,ifo:hot_code,1149616010101
1179044C1022,ifo:resept_code,610462008
,,
1179044C1022,ifo:if_0_8,"ジプレキサ細粒1％ 500g"
1179044C1022,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044C1022,ifo:if_0_11,"1g 中にオランザピンとして10 mg 含有"
1179044C1022,ifo:if_0_13,2001-11-29
1179044C1022,ifo:if_0_14,2002-06-14
1179044C1022,ifo:if_0_15,2004-05-17
1179044C1022,ifo:if_10_8,21300AMY00500
1179044C1022,ifo:yakka_code,1179044C1022
1179044C1022,ifo:yj_code,1179044C1022
1179044C1022,ifo:hot_code,1149616010102
1179044C1022,ifo:resept_code,610462008
,,
1179044F6020,ifo:if_0_8,"ジプレキサザイディス錠2.5 mg 70 錠 ﾌﾞﾘｽﾀｰ（7 錠×10）"
1179044F6020,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F6020,ifo:if_0_11,"1 錠中にオランザピンとして2.5 mg 含有"
1179044F6020,ifo:if_0_13,2015-09-18
1179044F6020,ifo:if_0_14,2015-11-28
1179044F6020,ifo:if_0_15,2015-11-30
1179044F6020,ifo:if_10_8,22700AMX00999
1179044F6020,ifo:yakka_code,1179044F6020
1179044F6020,ifo:yj_code,1179044F6020
1179044F6020,ifo:hot_code,1245509010101
1179044F6020,ifo:resept_code,622455001
,,
1179044F6020,ifo:if_0_8,"ジプレキサザイディス錠2.5 mg 350 錠ﾌﾞﾘｽﾀｰ（7 錠×50）"
1179044F6020,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F6020,ifo:if_0_11,"1 錠中にオランザピンとして2.5 mg 含有"
1179044F6020,ifo:if_0_13,2015-09-18
1179044F6020,ifo:if_0_14,2015-11-28
1179044F6020,ifo:if_0_15,2015-11-30
1179044F6020,ifo:if_10_8,22700AMX00999
1179044F6020,ifo:yakka_code,1179044F6020
1179044F6020,ifo:yj_code,1179044F6020
1179044F6020,ifo:hot_code,1245509010102
1179044F6020,ifo:resept_code,622455001
,,
1179044F4028,ifo:if_0_8,"ジプレキサザイディス錠5 mg 70 錠 ﾌﾞﾘｽﾀｰ（7 錠×10）"
1179044F4028,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F4028,ifo:if_0_11,"1 錠中にオランザピンとして5 mg 含有"
1179044F4028,ifo:if_0_13,2005-03-22
1179044F4028,ifo:if_0_14,2005-06-10
1179044F4028,ifo:if_0_15,2005-07-01
1179044F4028,ifo:if_10_8,21700AMY00139
1179044F4028,ifo:yakka_code,1179044F4028
1179044F4028,ifo:yj_code,1179044F4028
1179044F4028,ifo:hot_code,1166873010101
1179044F4028,ifo:resept_code,620002518
,,
1179044F4028,ifo:if_0_8,"ジプレキサザイディス錠5 mg 350 錠ﾌﾞﾘｽﾀｰ（7 錠×50）"
1179044F4028,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F4028,ifo:if_0_11,"1 錠中にオランザピンとして5 mg 含有"
1179044F4028,ifo:if_0_13,2005-03-22
1179044F4028,ifo:if_0_14,2005-06-10
1179044F4028,ifo:if_0_15,2005-07-01
1179044F4028,ifo:if_10_8,21700AMY00139
1179044F4028,ifo:yakka_code,1179044F4028
1179044F4028,ifo:yj_code,1179044F4028
1179044F4028,ifo:hot_code,1166873010102
1179044F4028,ifo:resept_code,620002518
,,
1179044F5024,ifo:if_0_8,"ジプレキサザイディス錠10mg 70 錠 ﾌﾞﾘｽﾀｰ（7 錠×10）"
1179044F5024,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F5024,ifo:if_0_11,"1 錠中にオランザピンとして10mg 含有"
1179044F5024,ifo:if_0_13,2005-03-22
1179044F5024,ifo:if_0_14,2005-06-10
1179044F5024,ifo:if_0_15,2005-07-01
1179044F5024,ifo:if_10_8,21700AMY00140
1179044F5024,ifo:yakka_code,1179044F5024
1179044F5024,ifo:yj_code,1179044F5024
1179044F5024,ifo:hot_code,1166880010101
1179044F5024,ifo:resept_code,620002519
,,
1179044F5024,ifo:if_0_8,"ジプレキサザイディス錠10mg 350 錠ﾌﾞﾘｽﾀｰ（7 錠×50）"
1179044F5024,ifo:if_0_9,フィルムコート錠、細粒、口腔内崩壊錠
1179044F5024,ifo:if_0_11,"1 錠中にオランザピンとして10mg 含有"
1179044F5024,ifo:if_0_13,2005-03-22
1179044F5024,ifo:if_0_14,2005-06-10
1179044F5024,ifo:if_0_15,2005-07-01
1179044F5024,ifo:if_10_8,21700AMY00140
1179044F5024,ifo:yakka_code,1179044F5024
1179044F5024,ifo:yj_code,1179044F5024
1179044F5024,ifo:hot_code,1166880010102
1179044F5024,ifo:resept_code,620002519
