subject,predicate,object
1,rdf:type,bibo:Document
1,rdfs:label,"医療上の必要性の高い未承認薬･適応外検討会議 公知申請への該当性に係る報告書：オランザ
ピン 抗悪性腫瘍剤投与に伴う消化器症状（悪心・嘔吐）<http://www.mhlw.go.jp/file/06-
Seisakujouhou-11120000-Iyakushokuhinkyoku/0000167538.pdf>（2020/1/20 アクセス）"
1,dct:dateAccepted,
1,ifo:internal_reference_id,
1,ifo:ctd_number,
2,rdf:type,bibo:Article
2,dct:references,23856100
2,ifo:internal_reference_id,CNS30912
3,rdf:type,bibo:Article
3,dct:creator,工藤義雄他
3,prism:publicationName,臨床医薬
3,prism:volume,14
3,prism:number,14
3,prism:startingPage,2527
3,prism:endingPage,2554
3,dct:issued,1998
3,ifo:internal_reference_id,CNS03623
4,rdf:type,bibo:Article
4,dct:references,11442886
4,ifo:internal_reference_id,CNS05273
5,rdf:type,bibo:Article
5,dct:references,10997865
5,ifo:internal_reference_id,CNS04036
6,rdf:type,bibo:Article
6,dct:references,11442893
6,ifo:internal_reference_id,CNS05263
7,rdf:type,bibo:Article
7,dct:references,8822534
7,ifo:internal_reference_id,CNS02060
8,rdf:type,bibo:Article
8,dct:references,9828990
8,ifo:internal_reference_id,CNS04214
9,rdf:type,bibo:Article
9,dct:references,10211147
9,ifo:internal_reference_id,CNS02633
10,rdf:type,bibo:Article
10,dct:references,22134043
10,ifo:internal_reference_id,CNS30334
11,rdf:type,bibo:Document
11,rdfs:label,"社内資料：躁病又は混合性エピソードを呈した双極Ⅰ型障害と診断された急性期の患者を対象
に実施した二重盲検比較試験"
11,dct:dateAccepted,2010-10-27
11,ifo:internal_reference_id,
11,ifo:ctd_number,"CTD 2.7.6.3.1"
12,rdf:type,bibo:Article
12,dct:references,10327902
12,ifo:internal_reference_id,CNS02676
13,rdf:type,bibo:Article
13,dct:references,10986547
13,ifo:internal_reference_id,CNS04480
14,rdf:type,bibo:Article
14,dct:references,17531327
14,ifo:internal_reference_id,CNS13528
15,rdf:type,bibo:Article
15,dct:references,19014751
15,ifo:internal_reference_id,CNS13527
16,rdf:type,bibo:Document
16,rdfs:label,"DEPAKOTE-divalproex sodium 米国添付文書（2019 年2 月）
<https://www.rxabbvie.com/pdf/depakote.pdf>（2020/1/20 アクセス）"
16,dct:dateAccepted,
16,ifo:internal_reference_id,
16,ifo:ctd_number,
17,rdf:type,bibo:Article
17,dct:references,12042191
17,ifo:internal_reference_id,CNS07255
18,rdf:type,bibo:Article
18,dct:references,12832240
18,ifo:internal_reference_id,CNS08203
19,rdf:type,bibo:Article
19,dct:references,11779284
19,ifo:internal_reference_id,CNS05947
20,rdf:type,bibo:Article
20,dct:references,18245032
20,ifo:internal_reference_id,CNS13541
21,rdf:type,bibo:Document
21,rdfs:label,"社内資料：うつ病エピソードを呈した双極Ⅰ型障害と診断された患者を対象に実施した二重盲検
比較試験"
21,dct:dateAccepted,2012-02-22
21,ifo:internal_reference_id,
21,ifo:ctd_number,"CTD 2.7.6.2.1"
22,rdf:type,bibo:Article
22,dct:references,23672672
22,ifo:internal_reference_id,CNS14217
23,rdf:type,bibo:Article
23,dct:references,22918966
23,ifo:internal_reference_id,CNS30548
24,rdf:type,bibo:Article
24,dct:references,14609883
24,ifo:internal_reference_id,CNS08109
25,rdf:type,bibo:Article
25,dct:creator,小椋力他
25,prism:publicationName,臨床精神薬理
25,prism:volume,4
25,prism:number,2
25,prism:startingPage,251
25,prism:endingPage,271
25,dct:issued,2001
25,ifo:internal_reference_id,CNS04445
26,rdf:type,bibo:Article
26,dct:creator,三浦貞則他
26,prism:publicationName,臨床精神薬理
26,prism:volume,4
26,prism:number,7
26,prism:startingPage,1007
26,prism:endingPage,1025
26,dct:issued,2001
26,ifo:internal_reference_id,CNS05133
27,rdf:type,bibo:Article
27,dct:creator,藤井康男他
27,prism:publicationName,臨床精神薬理
27,prism:volume,3
27,prism:number,10
27,prism:startingPage,1083
27,prism:endingPage,1096
27,dct:issued,2000
27,ifo:internal_reference_id,CNS04037
28,rdf:type,bibo:Article
28,dct:references,22356118
28,ifo:internal_reference_id,CNS30404
29,rdf:type,bibo:Article
29,dct:references,14662554
29,ifo:internal_reference_id,CNS09458
30,rdf:type,bibo:Article
30,dct:references,16449478
30,ifo:internal_reference_id,CNS10415
31,rdf:type,bibo:Article
31,dct:references,15994710
31,ifo:internal_reference_id,CNS09850
32,rdf:type,bibo:Document
32,rdfs:label,"社内資料：うつ病エピソードを呈した双極I 型障害と診断された患者を対象に実施した長期継続投与試験"
32,dct:dateAccepted,2012-02-22
32,ifo:internal_reference_id,
32,ifo:ctd_number,"CTD 2.7.6.2.2"
33,rdf:type,bibo:Article
33,dct:references,16841630
33,ifo:internal_reference_id,CNS13616
34,rdf:type,bibo:Article
34,dct:creator,中根允文他
34,prism:publicationName,臨床精神薬理
34,prism:volume,3
34,prism:number,12
34,prism:startingPage,1365
34,prism:endingPage,1382
34,dct:issued,2000
34,ifo:internal_reference_id,CNS04177
35,rdf:type,bibo:Article
35,dct:creator,西馬信一他
35,prism:publicationName,臨床精神薬理
35,prism:volume,11
35,prism:number,6
35,prism:startingPage,1107
35,prism:endingPage,1124
35,dct:issued,2008
35,ifo:internal_reference_id,CNS12344
36,rdf:type,bibo:Article
36,dct:creator,倉持素樹他
36,prism:publicationName,臨床精神薬理
36,prism:volume,12
36,prism:number,1
36,prism:startingPage,71
36,prism:endingPage,81
36,dct:issued,2009
36,ifo:internal_reference_id,CNS12353
37,rdf:type,bibo:Article
37,dct:creator,倉持素樹他
37,prism:publicationName,臨床精神薬理
37,prism:volume,11
37,prism:number,11
37,prism:startingPage,2013
37,prism:endingPage,2121
37,dct:issued,2008
37,ifo:internal_reference_id,CNS12535
38,rdf:type,bibo:Article
38,dct:creator,藤井康男他
38,prism:publicationName,臨床精神薬理
38,prism:volume,7
38,prism:number,9
38,prism:startingPage,1519
38,prism:endingPage,1548
38,dct:issued,2004
38,ifo:internal_reference_id,CNS08835
