subject,predicate,object
IF_0_3,dct:modified,2020-02
IF_0_3,pav:version,23
IF_0_4,rdf:value,"87 1179, 87 2391"
IF_0_6,rdf:value,2018
IF_0_7,rdf:value,抗精神病薬・双極性障害治療薬・制吐剤
IF_0_8,rdf:value,オランザピン錠、細粒、口腔内崩壊錠
IF_0_9,,
IF_0_10,rdf:value,"劇薬、処方箋医薬品 注意－医師等の処方箋により使用すること"
IF_0_11,,
IF_0_12,rdf:value,オランザピン（JAN）
IF_0_12,rdf:value,Olanzapine（JAN，ＩＮＮ）
IF_0_13,,
IF_0_14,,
IF_0_15,,
IF_0_16,rdf:value,製造販売元：日本イーライリリー株式会社
IF_0_17,rdf:value,
IF_0_18,rdf:value,"日本イーライリリー株式会社 Lilly Answers リリーアンサーズ
TEL 0120-360-605
医療関係者向けホームページ： www.lillymedical.jp"
IF_0_19,rdf:value,2020-02
IF_1,,
