subject,predicate,object
1,rdf:type,bibo:Article
1,dct:references,27928714
1,ifo:clinical_trial_id,ONO-4538-01
2,rdf:type,bibo:Document
2,rdfs:label,小野薬品工業社内資料（海外第Ⅰ相単回投与（CA209001）試験）
2,dct:dateAccepted,2014-07-04
2,ifo:ctd_number,CTD2.7.6.2
2,ifo:clinical_trial_id,CA209001
3,rdf:type,bibo:Article
3,dct:references,20516446
3,ifo:clinical_trial_id,CA209001
4,rdf:type,bibo:Document
4,rdfs:label,小野薬品工業社内資料（海外第Ⅰ相反復投与（CA209003）試験）
4,dct:dateAccepted,2014-07-04
4,ifo:ctd_number,CTD2.7.6.3
4,ifo:clinical_trial_id,CA209003
5,rdf:type,bibo:Article
5,dct:references,22658127
5,ifo:clinical_trial_id,CA209003
6,rdf:type,bibo:Article
6,dct:references,26861469
6,ifo:clinical_trial_id,CA209010
7,rdf:type,bibo:Document
7,rdfs:label,小野薬品工業社内資料（国内第Ⅱ相（ONO-4538-02）試験）
7,dct:dateAccepted,2014-07-04
7,ifo:ctd_number,CTD2.7.6.4
7,ifo:clinical_trial_id,ONO-4538-02
8,rdf:type,bibo:Article
8,dct:references,28266140
8,ifo:clinical_trial_id,ONO-4538-02
9,rdf:type,bibo:Document
9,rdfs:label,小野薬品工業社内資料（国内第Ⅱ相（ONO-4538-08）試験）
9,ifo:clinical_trial_id,ONO-4538-08
10,rdf:type,bibo:Article
10,dct:references,28342215
10,ifo:clinical_trial_id,ONO-4538-08
11,rdf:type,bibo:Document
11,rdfs:label,小野薬品工業社内資料（海外第Ⅰb相（CA209004）試験）
11,ifo:clinical_trial_id,CA209004
12,rdf:type,bibo:Article
12,dct:references,23724867
12,ifo:clinical_trial_id,CA209004
13,rdf:type,bibo:Document
13,rdfs:label,小野薬品工業社内資料（国内第Ⅱ相（ONO-4538-17）試験）
13,ifo:clinical_trial_id,ONO-4538-17
14,rdf:type,bibo:Document
14,rdfs:label,小野薬品工業社内資料（国内第Ⅱ相（ONO-4538-05）試験）
14,dct:dateAccepted,2015-12-17
14,ifo:ctd_number,CTD2.7.6.7
14,ifo:clinical_trial_id,ONO-4538-05
15,rdf:type,bibo:Article
15,dct:references,28266091
15,ifo:clinical_trial_id,ONO-4538-05
16,rdf:type,bibo:Document
16,rdfs:label,小野薬品工業社内資料（国内第Ⅱ相（ONO-4538-06）試験）
16,dct:dateAccepted,2015-12-17
16,ifo:ctd_number,CTD2.7.6.8
16,ifo:clinical_trial_id,ONO-4538-06
17,rdf:type,bibo:Article
17,dct:references,28861280
17,ifo:clinical_trial_id,ONO-4538-06
18,rdf:type,bibo:Article
18,dct:references,25452452
18,ifo:clinical_trial_id,CA209010
19,rdf:type,bibo:Document
19,rdfs:label,小野薬品工業社内資料（海外第Ⅰ相（CA209016）試験）
19,dct:dateAccepted,2015-12-17
19,ifo:ctd_number,CTD2.7.6.1
19,ifo:clinical_trial_id,CA209016
20,rdf:type,bibo:Article
20,dct:references,28678668
20,ifo:clinical_trial_id,CA209016
21,rdf:type,bibo:Document
21,rdfs:label,小野薬品工業社内資料（国内第Ⅱ相（ONO-4538-15）試験）
21,dct:dateAccepted,20016-12-02
21,ifo:ctd_number,CTD2.7.6.4
21,ifo:clinical_trial_id,ONO-4538-15
22,rdf:type,bibo:Article
22,dct:references,28267244
22,ifo:clinical_trial_id,ONO-4538-15
23,rdf:type,bibo:Document
23,rdfs:label,小野薬品工業社内資料（海外第Ⅱ相（CA209205）試験）
23,dct:dateAccepted,20016-12-02
23,ifo:ctd_number,"CTD2.7.6.5, CTD2.7.6.1"
23,ifo:clinical_trial_id,CA209205
24,rdf:type,bibo:Article
24,dct:references,27451390
24,ifo:clinical_trial_id,CA209205
25,rdf:type,bibo:Document
25,rdfs:label,小野薬品工業社内資料（国内第Ⅱ相（ONO-4538-41）試験）
25,dct:dateAccepted,2018-08-21
25,ifo:ctd_number,"CTD2.7.3, CTD2.7.6.1"
25,ifo:clinical_trial_id,ONO-4538-41
26,rdf:type,bibo:Document
26,rdfs:label,小野薬品工業社内資料（海外第Ⅱ相（CA209142）試験成績）
26,ifo:clinical_trial_id,CA209142
27,rdf:type,bibo:Article
27,dct:references,28734759
28,rdf:type,bibo:Document
28,rdfs:label,小野薬品工業社内資料（国内第Ⅱ相（ONO-4538-07）試験成績）
28,ifo:clinical_trial_id,ONO-4538-07
29,rdf:type,bibo:Article
29,dct:references,28314688
30,rdf:type,bibo:Article
30,dct:references,25399552
30,ifo:clinical_trial_id,CA209066
31,rdf:type,bibo:Document
31,rdfs:label,小野薬品工業社内資料（海外第Ⅲ相（CA209037）試験）
31,ifo:clinical_trial_id,CA209037
32,rdf:type,bibo:Article
32,dct:references,25795410
32,ifo:clinical_trial_id,CA209037
33,rdf:type,bibo:Document
33,rdfs:label,小野薬品工業社内資料（国際共同第Ⅲ相（ONO-4538-21/CA209238）試験）
33,dct:dateAccepted,2018-08-21
33,ifo:ctd_number,"CTD2.7.3, CTD2.7.4, CTD2.7.6.1, 審査報告書7.2"
33,ifo:clinical_trial_id,"ONO-4538-21, CA209238"
34,rdf:type,bibo:Article
34,dct:references,28891423
34,ifo:clinical_trial_id,"ONO-4538-21, CA209238"
35,rdf:type,bibo:Document
35,rdfs:label,小野薬品工業社内資料（海外第Ⅱ相（CA209069）試験）
36,rdf:type,bibo:Article
36,dct:references,25891304
36,ifo:clinical_trial_id,CA209069
37,rdf:type,bibo:Document
37,rdfs:label,小野薬品工業社内資料（海外第Ⅲ相（CA209067）試験）
37,ifo:clinical_trial_id,CA209067
38,rdf:type,bibo:Article
38,dct:references,26027431
38,ifo:clinical_trial_id,CA209067
39,rdf:type,bibo:Article
39,dct:references,28889792
39,ifo:clinical_trial_id,CA209067
40,rdf:type,bibo:Article
40,dct:references,26028407
40,ifo:clinical_trial_id,CA209017
41,rdf:type,bibo:Article
41,dct:references,26412456
41,ifo:clinical_trial_id,CA209057
42,rdf:type,bibo:Article
42,dct:references,26406148
42,ifo:clinical_trial_id,"ONO-4538-03, CA209025"
43,rdf:type,bibo:Document
43,rdfs:label,小野薬品工業社内資料（国際共同第Ⅲ相（ONO-4538-03/CA209025）試験・日本人部分集団解析）
43,dct:dateAccepted,2016-08-26
43,ifo:ctd_number,"CTD2.7.3, CTD2.7.4"
43,ifo:clinical_trial_id,"ONO-4538-03, CA209025"
44,rdf:type,bibo:Article
44,dct:references,28419248
44,ifo:clinical_trial_id,"ONO-4538-03, CA209025"
45,rdf:type,bibo:Document
45,rdfs:label,小野薬品工業社内資料（国際共同第Ⅲ相（ONO-4538-16/CA209214）試験）
45,dct:dateAccepted,2018-08-21
45,ifo:ctd_number,"CTD2.7.4, CTD2.7.6.2"
45,ifo:clinical_trial_id,"ONO-4538-16, CA209214"
46,rdf:type,bibo:Article
46,dct:references,29562145
